n-plet	method	O-information	alpha	beta	gamma
Z00-Z01-X1-X2-X3-X4	THOI	1.8356634616851806	0.1	0.3	0.1
Z00-Z01-X1-X2-X3-X4-X5	GCMI	3.754829811736689	0.1	0.3	0.1
Z00-Z01-X1-X2-X3-X4-X5	NPEET	5.186473955607599	0.1	0.3	0.1
Z00-Z01-X1-X2-X3-X4-X5	THOI	2.7451582670211794	0.1	0.3	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	GCMI	5.060766602934826	0.1	0.3	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	NPEET	6.893834733957941	0.1	0.3	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	THOI	3.647363305091858	0.1	0.3	0.1
X1-X2-X3	GCMI	0.9654111401828833	0.1	0.4	0.1
X1-X2-X3	NPEET	1.0001671062392838	0.1	0.4	0.1
X1-X2-X3	THOI	0.6730877995491028	0.1	0.4	0.1
X1-X2-X3-X4	GCMI	1.9017460278344527	0.1	0.4	0.1
X1-X2-X3-X4	NPEET	2.146994463795514	0.1	0.4	0.1
X1-X2-X3-X4	THOI	1.394372248649597	0.1	0.4	0.1
X1-X2-X3-X4-X5	GCMI	3.3344894863544234	0.1	0.4	0.1
X1-X2-X3-X4-X5	NPEET	3.810423540576829	0.1	0.4	0.1
X1-X2-X3-X4-X5	THOI	2.4084736704826355	0.1	0.4	0.1
X1-X2-X3-X4-X5-X6	GCMI	4.695775077904974	0.1	0.4	0.1
X1-X2-X3-X4-X5-X6	NPEET	5.422196290107415	0.1	0.4	0.1
X1-X2-X3-X4-X5-X6	THOI	3.3489633083343504	0.1	0.4	0.1
Z00-Z01-X1-X2-X3	GCMI	2.3591938361902995	0.1	0.4	0.1
Z00-Z01-X1-X2-X3	NPEET	2.703191783629493	0.1	0.4	0.1
Z00-Z01-X1-X2-X3	THOI	1.6426659941673278	0.1	0.4	0.1
Z00-Z01-X1-X2-X3-X4	GCMI	3.4241826556471144	0.1	0.4	0.1
Z00-Z01-X1-X2-X3-X4	NPEET	4.554246602093701	0.1	0.4	0.1
Z00-Z01-X1-X2-X3-X4	THOI	2.463836979866028	0.1	0.4	0.1
Z00-Z01-X1-X2-X3-X4-X5	GCMI	5.063299268600586	0.1	0.4	0.1
Z00-Z01-X1-X2-X3-X4-X5	NPEET	6.578043214003706	0.1	0.4	0.1
Z00-Z01-X1-X2-X3-X4-X5	THOI	3.616079592704773	0.1	0.4	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	GCMI	6.742362724276783	0.1	0.4	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	NPEET	8.652147948224219	0.1	0.4	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	THOI	4.778187704086304	0.1	0.4	0.1
X1-X2-X3	GCMI	1.2274832524993156	0.1	0.5	0.1
X1-X2-X3	NPEET	1.2400656421977965	0.1	0.5	0.1
X1-X2-X3	THOI	0.8523118376731873	0.1	0.5	0.1
X1-X2-X3-X4	GCMI	2.3979269540096357	0.1	0.5	0.1
X1-X2-X3-X4	NPEET	2.6704794194512216	0.1	0.5	0.1
X1-X2-X3-X4	THOI	1.7314290523529052	0.1	0.5	0.1
X1-X2-X3-X4-X5	GCMI	4.117709191048613	0.1	0.5	0.1
X1-X2-X3-X4-X5	NPEET	4.649536352769817	0.1	0.5	0.1
X1-X2-X3-X4-X5	THOI	2.9404114961624144	0.1	0.5	0.1
X1-X2-X3-X4-X5-X6	GCMI	5.775217343351029	0.1	0.5	0.1
X1-X2-X3-X4-X5-X6	NPEET	6.560930140692838	0.1	0.5	0.1
X1-X2-X3-X4-X5-X6	THOI	4.0849226951599125	0.1	0.5	0.1
Z00-Z01-X1-X2-X3	GCMI	2.9171714091265555	0.1	0.5	0.1
Z00-Z01-X1-X2-X3	NPEET	3.2621187959317823	0.1	0.5	0.1
Z00-Z01-X1-X2-X3	THOI	2.0244534730911257	0.1	0.5	0.1
Z00-Z01-X1-X2-X3-X4	GCMI	4.2204524840853415	0.1	0.5	0.1
Z00-Z01-X1-X2-X3-X4	NPEET	5.401183201656268	0.1	0.5	0.1
Z00-Z01-X1-X2-X3-X4	THOI	3.0030576944351197	0.1	0.5	0.1
Z00-Z01-X1-X2-X3-X4-X5	GCMI	6.156419087425841	0.1	0.5	0.1
Z00-Z01-X1-X2-X3-X4-X5	NPEET	7.755549228795777	0.1	0.5	0.1
Z00-Z01-X1-X2-X3-X4-X5	THOI	4.356790328025818	0.1	0.5	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	GCMI	8.134242419782	0.1	0.5	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	NPEET	10.144391767706132	0.1	0.5	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	THOI	5.726986026763916	0.1	0.5	0.1
X1-X2-X3	GCMI	1.4640663095648074	0.1	0.6	0.1
X1-X2-X3	NPEET	1.4888340519574776	0.1	0.6	0.1
X1-X2-X3	THOI	1.0149118423461914	0.1	0.6	0.1
X1-X2-X3-X4	GCMI	2.8653416274577586	0.1	0.6	0.1
X1-X2-X3-X4	NPEET	3.135994918103245	0.1	0.6	0.1
X1-X2-X3-X4	THOI	2.0335833191871644	0.1	0.6	0.1
X1-X2-X3-X4-X5	GCMI	4.834666883451571	0.1	0.6	0.1
X1-X2-X3-X4-X5	NPEET	5.3691962422665105	0.1	0.6	0.1
X1-X2-X3-X4-X5	THOI	3.4084250926971436	0.1	0.6	0.1
X1-X2-X3-X4-X5-X6	GCMI	6.7411522058852995	0.1	0.6	0.1
X1-X2-X3-X4-X5-X6	NPEET	7.527920375680725	0.1	0.6	0.1
X1-X2-X3-X4-X5-X6	THOI	4.726237440109253	0.1	0.6	0.1
Z00-Z01-X1-X2-X3	GCMI	3.3990458653433024	0.1	0.6	0.1
Z00-Z01-X1-X2-X3	NPEET	3.814155961692223	0.1	0.6	0.1
Z00-Z01-X1-X2-X3	THOI	2.3565908670425415	0.1	0.6	0.1
Z00-Z01-X1-X2-X3-X4	GCMI	4.937649585344181	0.1	0.6	0.1
Z00-Z01-X1-X2-X3-X4	NPEET	6.192463054270808	0.1	0.6	0.1
Z00-Z01-X1-X2-X3-X4	THOI	3.4744455575942994	0.1	0.6	0.1
Z00-Z01-X1-X2-X3-X4-X5	GCMI	7.123696307239638	0.1	0.6	0.1
