n-plet	method	O-information	alpha	beta
X2-X3-X6	NPEET	-0.07187031468105225	0.1	0.7000000000000001
X2-X3-X6	THOI	0.0044281005859375	0.1	0.7000000000000001
X4-X5-X6	GCMI	9.241217284738923e-07	0.1	0.7000000000000001
X4-X5-X6	NPEET	0.3058427150243926	0.1	0.7000000000000001
X4-X5-X6	THOI	2.765655517578125e-06	0.1	0.7000000000000001
X1-X2-X3-X6	GCMI	0.00832398836087691	0.1	0.8
X1-X2-X3-X6	NPEET	-0.06403030243486611	0.1	0.8
X1-X2-X3-X6	THOI	0.005735206604003906	0.1	0.8
X1-X4-X5-X6	GCMI	1.8421062712548065e-06	0.1	0.8
X1-X4-X5-X6	NPEET	0.5232063570010631	0.1	0.8
X1-X4-X5-X6	THOI	9.059906005859375e-06	0.1	0.8
X2-X3-X6	GCMI	0.008338720297431657	0.1	0.8
X2-X3-X6	NPEET	-0.08899245512065831	0.1	0.8
X2-X3-X6	THOI	0.005743694305419922	0.1	0.8
X4-X5-X6	GCMI	8.388503832890137e-07	0.1	0.8
X4-X5-X6	NPEET	0.29152238259951113	0.1	0.8
X4-X5-X6	THOI	8.392333984375e-06	0.1	0.8
X1-X2-X3-X6	GCMI	0.008940519667103075	0.1	0.9
X1-X2-X3-X6	NPEET	-0.09180686498335362	0.1	0.9
X1-X2-X3-X6	THOI	0.006183815002441406	0.1	0.9
X1-X4-X5-X6	GCMI	1.2613933392913168e-06	0.1	0.9
X1-X4-X5-X6	NPEET	0.5170867571903071	0.1	0.9
X1-X4-X5-X6	THOI	-6.198883056640625e-06	0.1	0.9
X2-X3-X6	GCMI	0.008951997725550599	0.1	0.9
X2-X3-X6	NPEET	-0.09453799587309213	0.1	0.9
X2-X3-X6	THOI	0.006190872192382813	0.1	0.9
X4-X5-X6	GCMI	-1.9800150532489624e-06	0.1	0.9
X4-X5-X6	NPEET	0.3170527085916975	0.1	0.9
X4-X5-X6	THOI	-8.58306884765625e-06	0.1	0.9
X1-X2-X3-X6	GCMI	0.009809499941497535	0.1	1.0
X1-X2-X3-X6	NPEET	-0.11173922212007881	0.1	1.0
X1-X2-X3-X6	THOI	0.006781101226806641	0.1	1.0
X1-X4-X5-X6	GCMI	4.699947862008003e-06	0.1	1.0
