n-plet	method	O-information	alpha	beta	gamma
Z00-Z01-X1-X2-X3-X4	THOI	1.8364913940429688	0.1	0.3	0.1
Z00-Z01-X1-X2-X3-X4-X5	GCMI	3.9630826896742897	0.1	0.3	0.1
Z00-Z01-X1-X2-X3-X4-X5	NPEET	3.600617347631709	0.1	0.3	0.1
Z00-Z01-X1-X2-X3-X4-X5	THOI	2.746998429298401	0.1	0.3	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	GCMI	5.263131535367371	0.1	0.3	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	NPEET	4.775852738707873	0.1	0.3	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	THOI	3.648123598098755	0.1	0.3	0.1
X1-X2-X3	GCMI	0.9712954981268893	0.1	0.4	0.1
X1-X2-X3	NPEET	0.6863274122769525	0.1	0.4	0.1
X1-X2-X3	THOI	0.6732508659362793	0.1	0.4	0.1
X1-X2-X3-X4	GCMI	2.0144046307544903	0.1	0.4	0.1
X1-X2-X3-X4	NPEET	1.4918465825822456	0.1	0.4	0.1
X1-X2-X3-X4	THOI	1.3962785005569458	0.1	0.4	0.1
X1-X2-X3-X4-X5	GCMI	3.4820489411572373	0.1	0.4	0.1
X1-X2-X3-X4-X5	NPEET	2.6471578678773042	0.1	0.4	0.1
X1-X2-X3-X4-X5	THOI	2.4135720252990724	0.1	0.4	0.1
X1-X2-X3-X4-X5-X6	GCMI	4.837944978437113	0.1	0.4	0.1
X1-X2-X3-X4-X5-X6	NPEET	3.753200882620443	0.1	0.4	0.1
X1-X2-X3-X4-X5-X6	THOI	3.3534067630767823	0.1	0.4	0.1
Z00-Z01-X1-X2-X3	GCMI	2.3704885126754123	0.1	0.4	0.1
Z00-Z01-X1-X2-X3	NPEET	1.8593103779114872	0.1	0.4	0.1
Z00-Z01-X1-X2-X3	THOI	1.6430969953536987	0.1	0.4	0.1
Z00-Z01-X1-X2-X3-X4	GCMI	3.5585482739076335	0.1	0.4	0.1
Z00-Z01-X1-X2-X3-X4	NPEET	3.1542726062732713	0.1	0.4	0.1
Z00-Z01-X1-X2-X3-X4	THOI	2.4665966510772703	0.1	0.4	0.1
Z00-Z01-X1-X2-X3-X4-X5	GCMI	5.2249473886895945	0.1	0.4	0.1
Z00-Z01-X1-X2-X3-X4-X5	NPEET	4.549801334937575	0.1	0.4	0.1
Z00-Z01-X1-X2-X3-X4-X5	THOI	3.621657395362854	0.1	0.4	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	GCMI	6.9026544048231315	0.1	0.4	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	NPEET	5.999379350988171	0.1	0.4	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	THOI	4.784555411338806	0.1	0.4	0.1
X1-X2-X3	GCMI	1.2353668560518005	0.1	0.5	0.1
X1-X2-X3	NPEET	0.8732864645596466	0.1	0.5	0.1
X1-X2-X3	THOI	0.8562910079956054	0.1	0.5	0.1
X1-X2-X3-X4	GCMI	2.518426878597373	0.1	0.5	0.1
X1-X2-X3-X4	NPEET	1.8631196711147484	0.1	0.5	0.1
X1-X2-X3-X4	THOI	1.7456398606300354	0.1	0.5	0.1
X1-X2-X3-X4-X5	GCMI	4.264125782587711	0.1	0.5	0.1
X1-X2-X3-X4-X5	NPEET	3.2188201192574923	0.1	0.5	0.1
X1-X2-X3-X4-X5	THOI	2.9556663274765014	0.1	0.5	0.1
X1-X2-X3-X4-X5-X6	GCMI	5.916701614709354	0.1	0.5	0.1
X1-X2-X3-X4-X5-X6	NPEET	4.551917142188143	0.1	0.5	0.1
