n-plet	method	O-information	alpha	beta	gamma
X1-X2-X3-X4-X5-X6	GCMI	0.0009287769536726387	0.1	0.1	0.6
X1-X2-X3-X4-X5-X6	NPEET	0.09241704069499548	0.1	0.1	0.6
X1-X2-X3-X4-X5-X6	THOI	0.0006290435791015625	0.1	0.1	0.6
X1-X2-X3	GCMI	2.9778151892756453e-06	0.1	0.1	0.7000000000000001
X1-X2-X3	NPEET	0.01110569635128993	0.1	0.1	0.7000000000000001
X1-X2-X3	THOI	1.9073486328125e-06	0.1	0.1	0.7000000000000001
X1-X2-X3-X4	GCMI	0.00010830883934431768	0.1	0.1	0.7000000000000001
X1-X2-X3-X4	NPEET	0.0007360769765931252	0.1	0.1	0.7000000000000001
X1-X2-X3-X4	THOI	7.20977783203125e-05	0.1	0.1	0.7000000000000001
X1-X2-X3-X4-X5	GCMI	0.00026646330637589697	0.1	0.1	0.7000000000000001
X1-X2-X3-X4-X5	NPEET	0.011842349029411281	0.1	0.1	0.7000000000000001
X1-X2-X3-X4-X5	THOI	0.00017910003662109376	0.1	0.1	0.7000000000000001
X1-X2-X3-X4-X5-X6	GCMI	0.0002944815361018982	0.1	0.1	0.7000000000000001
X1-X2-X3-X4-X5-X6	NPEET	0.06937704376244795	0.1	0.1	0.7000000000000001
X1-X2-X3-X4-X5-X6	THOI	0.00019969940185546876	0.1	0.1	0.7000000000000001
X1-X2-X3	GCMI	4.514731939408989e-06	0.1	0.1	0.8
X1-X2-X3	NPEET	-0.004199535220069705	0.1	0.1	0.8
X1-X2-X3	THOI	2.86102294921875e-06	0.1	0.1	0.8
X1-X2-X3-X4	GCMI	7.883345565282696e-05	0.1	0.1	0.8
X1-X2-X3-X4	NPEET	-0.029010732611726552	0.1	0.1	0.8
X1-X2-X3-X4	THOI	5.464553833007812e-05	0.1	0.1	0.8
X1-X2-X3-X4-X5	GCMI	0.0001922029897741595	0.1	0.1	0.8
X1-X2-X3-X4-X5	NPEET	0.009585889434720229	0.1	0.1	0.8
X1-X2-X3-X4-X5	THOI	0.00013065338134765625	0.1	0.1	0.8
X1-X2-X3-X4-X5-X6	GCMI	0.00021410178907217415	0.1	0.1	0.8
X1-X2-X3-X4-X5-X6	NPEET	0.10456857912583359	0.1	0.1	0.8
X1-X2-X3-X4-X5-X6	THOI	0.000147247314453125	0.1	0.1	0.8
X1-X2-X3	GCMI	4.8213460198454076e-06	0.1	0.1	0.9
X1-X2-X3	NPEET	-0.009420220496952503	0.1	0.1	0.9
X1-X2-X3	THOI	3.147125244140625e-06	0.1	0.1	0.9
X1-X2-X3-X4	GCMI	4.5301631787353355e-05	0.1	0.1	0.9
X1-X2-X3-X4	NPEET	-0.019535009221535303	0.1	0.1	0.9
X1-X2-X3-X4	THOI	3.1948089599609375e-05	0.1	0.1	0.9
X1-X2-X3-X4-X5	GCMI	9.8023069463693e-05	0.1	0.1	0.9
X1-X2-X3-X4-X5	NPEET	0.01770514042695197	0.1	0.1	0.9
X1-X2-X3-X4-X5	THOI	6.75201416015625e-05	0.1	0.1	0.9
X1-X2-X3-X4-X5-X6	GCMI	0.00012312105346552472	0.1	0.1	0.9
X1-X2-X3-X4-X5-X6	NPEET	0.09311538634581637	0.1	0.1	0.9
X1-X2-X3-X4-X5-X6	THOI	8.6212158203125e-05	0.1	0.1	0.9
X1-X2-X3	GCMI	-2.3275581817472356e-08	0.1	0.1	1.0
X1-X2-X3	NPEET	-0.030047177479983134	0.1	0.1	1.0
X1-X2-X3	THOI	1.9073486328125e-07	0.1	0.1	1.0
X1-X2-X3-X4	GCMI	1.352045062432694e-05	0.1	0.1	1.0
X1-X2-X3-X4	NPEET	-0.04246210903011516	0.1	0.1	1.0
X1-X2-X3-X4	THOI	8.58306884765625e-06	0.1	0.1	1.0
X1-X2-X3-X4-X5	GCMI	2.4224850730547586e-05	0.1	0.1	1.0
X1-X2-X3-X4-X5	NPEET	0.025744524169719084	0.1	0.1	1.0
X1-X2-X3-X4-X5	THOI	1.5354156494140626e-05	0.1	0.1	1.0
X1-X2-X3-X4-X5-X6	GCMI	4.203847022239415e-05	0.1	0.1	1.0
X1-X2-X3-X4-X5-X6	NPEET	0.06759787113684582	0.1	0.1	1.0
X1-X2-X3-X4-X5-X6	THOI	2.70843505859375e-05	0.1	0.1	1.0
X1-X2-X3	GCMI	0.31813205446580334	0.1	0.2	0.1
X1-X2-X3	NPEET	0.32321207971414306	0.1	0.2	0.1
X1-X2-X3	THOI	0.23269877433776856	0.1	0.2	0.1
X1-X2-X3-X4	GCMI	0.6759096925267623	0.1	0.2	0.1
X1-X2-X3-X4	NPEET	0.846495976549105	0.1	0.2	0.1
X1-X2-X3-X4	THOI	0.5565167427062988	0.1	0.2	0.1
X1-X2-X3-X4-X5	GCMI	1.3328358228508859	0.1	0.2	0.1
X1-X2-X3-X4-X5	NPEET	1.653145907123402	0.1	0.2	0.1
X1-X2-X3-X4-X5	THOI	1.0526829719543458	0.1	0.2	0.1
X1-X2-X3-X4-X5-X6	GCMI	1.8890013438056825	0.1	0.2	0.1
X1-X2-X3-X4-X5-X6	NPEET	2.438938090520728	0.1	0.2	0.1
X1-X2-X3-X4-X5-X6	THOI	1.4402149200439454	0.1	0.2	0.1
X1-X2-X3	GCMI	0.09653723644719395	0.1	0.2	0.2
X1-X2-X3	NPEET	0.07963640950905475	0.1	0.2	0.2
X1-X2-X3	THOI	0.06798229217529297	0.1	0.2	0.2
X1-X2-X3-X4	GCMI	0.2674972366648264	0.1	0.2	0.2
X1-X2-X3-X4	NPEET	0.2818793488845429	0.1	0.2	0.2
X1-X2-X3-X4	THOI	0.19585199356079103	0.1	0.2	0.2
X1-X2-X3-X4-X5	GCMI	0.4948685297854395	0.1	0.2	0.2
X1-X2-X3-X4-X5	NPEET	0.5342772059826663	0.1	0.2	0.2
X1-X2-X3-X4-X5	THOI	0.36212940216064454	0.1	0.2	0.2
X1-X2-X3-X4-X5-X6	GCMI	0.7016739930509897	0.1	0.2	0.2
X1-X2-X3-X4-X5-X6	NPEET	0.8693197964014183	0.1	0.2	0.2
X1-X2-X3-X4-X5-X6	THOI	0.5114404678344726	0.1	0.2	0.2
X1-X2-X3	GCMI	0.025457947819805683	0.1	0.2	0.30000000000000004
X1-X2-X3	NPEET	0.024706349213367274	0.1	0.2	0.30000000000000004
X1-X2-X3	THOI	0.01768627166748047	0.1	0.2	0.30000000000000004
X1-X2-X3-X4	GCMI	0.08905963215022705	0.1	0.2	0.30000000000000004
X1-X2-X3-X4	NPEET	0.0807829002173639	0.1	0.2	0.30000000000000004
X1-X2-X3-X4	THOI	0.061998939514160155	0.1	0.2	0.30000000000000004
X1-X2-X3-X4-X5	GCMI	0.16987031029097963	0.1	0.2	0.30000000000000004
