n-plet	method	O-information	alpha	beta	gamma
X1-X2-X3-X4	JDIT	2.6449435755259443	0.1	0.8	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	4.342237727569753	0.1	0.8	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	5.936700976202621	0.1	0.8	0.10000000149011612
Z00-Z01-X1-X2-X3	JDIT	1.281021609143378	0.1	0.8	0.10000000149011612
Z00-Z01-X1-X2-X3-X4	JDIT	2.6449441072737683	0.1	0.8	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	4.373632350202977	0.1	0.8	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	8.212007275206053	0.1	0.8	0.10000000149011612
X1-X2-X3	JDIT	1.3957049021140076	0.1	0.9	0.10000000149011612
X1-X2-X3-X4	JDIT	2.872353844797396	0.1	0.9	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	4.688415076017964	0.1	0.9	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	6.396378183048027	0.1	0.9	0.10000000149011612
Z00-Z01-X1-X2-X3	JDIT	1.395705550827993	0.1	0.9	0.10000000149011612
Z00-Z01-X1-X2-X3-X4	JDIT	2.8723526554430894	0.1	0.9	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	4.698085603664162	0.1	0.9	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	8.747239862645964	0.1	0.9	0.10000000149011612
X1-X2-X3	JDIT	1.4952448432660046	0.1	1.0	0.10000000149011612
X1-X2-X3-X4	JDIT	3.068141542271659	0.1	1.0	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	4.979857743229099	0.1	1.0	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	6.788064678570412	0.1	1.0	0.10000000149011612
Z00-Z01-X1-X2-X3	JDIT	1.4952453140246953	0.1	1.0	0.10000000149011612
Z00-Z01-X1-X2-X3-X4	JDIT	3.068142203554158	0.1	1.0	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	4.976837254866281	0.1	1.0	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	9.203167903081876	0.1	1.0	0.10000000149011612
X1-X2-X3	JDIT	0.09568270637513068	0.2	0.1	0.10000000149011612
X1-X2-X3-X4	JDIT	0.2627671393511933	0.2	0.1	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	0.618299214798447	0.2	0.1	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	0.7321544733099066	0.2	0.1	0.10000000149011612
Z00-Z01-X1-X2-X3	JDIT	0.09568240400944181	0.2	0.1	0.10000000149011612
Z00-Z01-X1-X2-X3-X4	JDIT	0.2627663723893456	0.2	0.1	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	1.4624816234456661	0.2	0.1	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	1.9094720423826623	0.2	0.1	0.10000000149011612
X1-X2-X3	JDIT	0.10075233782482336	0.2	0.2	0.10000000149011612
X1-X2-X3-X4	JDIT	0.337173732754285	0.2	0.2	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	0.8927879586038946	0.2	0.2	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	1.1934543641983875	0.2	0.2	0.10000000149011612
Z00-Z01-X1-X2-X3	JDIT	0.1007526619630893	0.2	0.2	0.10000000149011612
Z00-Z01-X1-X2-X3-X4	JDIT	0.3371736887084975	0.2	0.2	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	1.5448952420711606	0.2	0.2	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	2.8466640208995124	0.2	0.2	0.10000000149011612
X1-X2-X3	JDIT	0.20956307501065918	0.2	0.3	0.10000000149011612
X1-X2-X3-X4	JDIT	0.5632360228029384	0.2	0.3	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	1.350292238689669	0.2	0.3	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	1.8925455913636526	0.2	0.3	0.10000000149011612
Z00-Z01-X1-X2-X3	JDIT	0.2095618838707189	0.2	0.3	0.10000000149011612
Z00-Z01-X1-X2-X3-X4	JDIT	0.5632363054375286	0.2	0.3	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	1.9274699549530456	0.2	0.3	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	3.89389015848635	0.2	0.3	0.10000000149011612
X1-X2-X3	JDIT	0.34693690496953145	0.2	0.4	0.10000000149011612
X1-X2-X3-X4	JDIT	0.8263097931400969	0.2	0.4	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	1.8269781729601973	0.2	0.4	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	2.5848401179815186	0.2	0.4	0.10000000149011612
Z00-Z01-X1-X2-X3	JDIT	0.34693677540508355	0.2	0.4	0.10000000149011612
Z00-Z01-X1-X2-X3-X4	JDIT	0.8263098176806603	0.2	0.4	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	2.349931087731801	0.2	0.4	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	4.832875123451575	0.2	0.4	0.10000000149011612
X1-X2-X3	JDIT	0.4930618652967526	0.2	0.5	0.10000000149011612
X1-X2-X3-X4	JDIT	1.099665790598602	0.2	0.5	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	2.2895052174116737	0.2	0.5	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	3.244012929571524	0.2	0.5	0.10000000149011612
Z00-Z01-X1-X2-X3	JDIT	0.49306168656910787	0.2	0.5	0.10000000149011612
Z00-Z01-X1-X2-X3-X4	JDIT	1.0996644956982693	0.2	0.5	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	2.792186770699754	0.2	0.5	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	5.681828433802109	0.2	0.5	0.10000000149011612
X1-X2-X3	JDIT	0.6230300907690405	0.2	0.6	0.10000000149011612
X1-X2-X3-X4	JDIT	1.3499426566061155	0.2	0.6	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	2.6948280909087425	0.2	0.6	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	3.805119016145185	0.2	0.6	0.10000000149011612
Z00-Z01-X1-X2-X3	JDIT	0.6230297025905107	0.2	0.6	0.10000000149011612
Z00-Z01-X1-X2-X3-X4	JDIT	1.349941633930704	0.2	0.6	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	3.1759377510112654	0.2	0.6	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	6.394268665123471	0.2	0.6	0.10000000149011612
X1-X2-X3	JDIT	0.7467100469933098	0.2	0.7	0.10000000149011612
X1-X2-X3-X4	JDIT	1.5881677071147287	0.2	0.7	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	3.0726749663258586	0.2	0.7	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	4.32291680903954	0.2	0.7	0.10000000149011612
Z00-Z01-X1-X2-X3	JDIT	0.7467107754949853	0.2	0.7	0.10000000149011612
Z00-Z01-X1-X2-X3-X4	JDIT	1.588168705181502	0.2	0.7	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	3.5339628619304433	0.2	0.7	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	7.021382239588936	0.2	0.7	0.10000000149011612
X1-X2-X3	JDIT	0.855253966707398	0.2	0.8	0.10000000149011612
X1-X2-X3-X4	JDIT	1.7933454345443125	0.2	0.8	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	3.399174520905189	0.2	0.8	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	4.771101069481435	0.2	0.8	0.10000000149011612
Z00-Z01-X1-X2-X3	JDIT	0.8552537849585647	0.2	0.8	0.10000000149011612
Z00-Z01-X1-X2-X3-X4	JDIT	1.793345623516183	0.2	0.8	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	3.8385919036977008	0.2	0.8	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	7.5667692123315335	0.2	0.8	0.10000000149011612
X1-X2-X3	JDIT	0.9625276652804555	0.2	0.9	0.10000000149011612
X1-X2-X3-X4	JDIT	1.9944014030471913	0.2	0.9	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	3.7117618333326883	0.2	0.9	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	5.185963367742794	0.2	0.9	0.10000000149011612
Z00-Z01-X1-X2-X3	JDIT	0.9625278907387619	0.2	0.9	0.10000000149011612
