n-plet	method	alpha	beta	O-information
X1-X2-Z_syn-Z_red	JDIT	0.07	0.99	3.117522288434238
X1-X2-Z_syn	JDIT	0.08	0.01	-1.7600881103097374
X1-X2-Z_syn-Z_red	JDIT	0.08	0.01	0.5482125622393648
X1-X2-Z_syn	JDIT	0.08	0.02	-2.1442645471763084
X1-X2-Z_syn-Z_red	JDIT	0.08	0.02	0.4524948134079567
X1-X2-Z_syn	JDIT	0.08	0.03	-2.3010702185750636
X1-X2-Z_syn-Z_red	JDIT	0.08	0.03	0.42288604708338556
X1-X2-Z_syn	JDIT	0.08	0.04	-2.3530696797873634
X1-X2-Z_syn-Z_red	JDIT	0.08	0.04	0.4543709233742083
X1-X2-Z_syn	JDIT	0.08	0.05	-2.364199607899215
X1-X2-Z_syn-Z_red	JDIT	0.08	0.05	0.5099390465732495
X1-X2-Z_syn	JDIT	0.08	0.06	-2.3428529390851027
X1-X2-Z_syn-Z_red	JDIT	0.08	0.06	0.5883874321275911
X1-X2-Z_syn	JDIT	0.08	0.07	-2.3059381445760354
X1-X2-Z_syn-Z_red	JDIT	0.08	0.07	0.6717641114706537
X1-X2-Z_syn	JDIT	0.08	0.08	-2.256444076395207
X1-X2-Z_syn-Z_red	JDIT	0.08	0.08	0.7565602139478795
X1-X2-Z_syn	JDIT	0.08	0.09	-2.204859048554322
X1-X2-Z_syn-Z_red	JDIT	0.08	0.09	0.8367909844455536
X1-X2-Z_syn	JDIT	0.08	0.1	-2.1530149147038764
X1-X2-Z_syn-Z_red	JDIT	0.08	0.1	0.9155433182754408
X1-X2-Z_syn	JDIT	0.08	0.2	-1.6781237307608834
X1-X2-Z_syn-Z_red	JDIT	0.08	0.2	1.5080378055015968
X1-X2-Z_syn	JDIT	0.08	0.3	-1.3447111625361137
X1-X2-Z_syn-Z_red	JDIT	0.08	0.3	1.8893022972079585
X1-X2-Z_syn	JDIT	0.08	0.4	-1.1058184545139569
X1-X2-Z_syn-Z_red	JDIT	0.08	0.4	2.1605164075364423
X1-X2-Z_syn	JDIT	0.08	0.5	-0.924610971190931
X1-X2-Z_syn-Z_red	JDIT	0.08	0.5	2.3676010051895036
X1-X2-Z_syn	JDIT	0.08	0.6	-0.7816373992787786
X1-X2-Z_syn-Z_red	JDIT	0.08	0.6	2.5356666549391558
X1-X2-Z_syn	JDIT	0.08	0.7	-0.6673911594823483
X1-X2-Z_syn-Z_red	JDIT	0.08	0.7	2.679376324100206
X1-X2-Z_syn	JDIT	0.08	0.8	-0.580133271641376
X1-X2-Z_syn-Z_red	JDIT	0.08	0.8	2.793608478973551
X1-X2-Z_syn	JDIT	0.08	0.9	-0.49948981240329093
X1-X2-Z_syn-Z_red	JDIT	0.08	0.9	2.9075076225761514
X1-X2-Z_syn	JDIT	0.08	0.91	-0.49130548465998425
X1-X2-Z_syn-Z_red	JDIT	0.08	0.91	2.9198878108058635
X1-X2-Z_syn	JDIT	0.08	0.92	-0.48615558532674175
X1-X2-Z_syn-Z_red	JDIT	0.08	0.92	2.926695355235841
X1-X2-Z_syn	JDIT	0.08	0.93	-0.48300615564665705
X1-X2-Z_syn-Z_red	JDIT	0.08	0.93	2.93221894677947
X1-X2-Z_syn	JDIT	0.08	0.94	-0.4746571552966136
X1-X2-Z_syn-Z_red	JDIT	0.08	0.94	2.945570688285336
X1-X2-Z_syn	JDIT	0.08	0.95	-0.46776508884969203
X1-X2-Z_syn-Z_red	JDIT	0.08	0.95	2.9550900007916576
X1-X2-Z_syn	JDIT	0.08	0.96	-0.4588429001708004
X1-X2-Z_syn-Z_red	JDIT	0.08	0.96	2.9689368250135897
X1-X2-Z_syn	JDIT	0.08	0.97	-0.4530695452323215
X1-X2-Z_syn-Z_red	JDIT	0.08	0.97	2.978393133052033
X1-X2-Z_syn	JDIT	0.08	0.98	-0.44711901823486605
X1-X2-Z_syn-Z_red	JDIT	0.08	0.98	2.9868354880160575
X1-X2-Z_syn	JDIT	0.08	0.99	-0.4414446847228873
X1-X2-Z_syn-Z_red	JDIT	0.08	0.99	2.9956242634873247
X1-X2-Z_syn	JDIT	0.09	0.01	-1.6879040347360152
X1-X2-Z_syn-Z_red	JDIT	0.09	0.01	0.5624669239002266
X1-X2-Z_syn	JDIT	0.09	0.02	-2.084121947681285
X1-X2-Z_syn-Z_red	JDIT	0.09	0.02	0.4703488342141318
X1-X2-Z_syn	JDIT	0.09	0.03	-2.2606362425618656
X1-X2-Z_syn-Z_red	JDIT	0.09	0.03	0.42753452858913776
X1-X2-Z_syn	JDIT	0.09	0.04	-2.33884281794876
X1-X2-Z_syn-Z_red	JDIT	0.09	0.04	0.4342282205123144
X1-X2-Z_syn	JDIT	0.09	0.05	-2.3697443176964286
X1-X2-Z_syn-Z_red	JDIT	0.09	0.05	0.4689583574067929
X1-X2-Z_syn	JDIT	0.09	0.06	-2.364145490460811
X1-X2-Z_syn-Z_red	JDIT	0.09	0.06	0.5276765613456214
X1-X2-Z_syn	JDIT	0.09	0.07	-2.3374890611000545
X1-X2-Z_syn-Z_red	JDIT	0.09	0.07	0.6026838175615393
X1-X2-Z_syn	JDIT	0.09	0.08	-2.2980231116226806
X1-X2-Z_syn-Z_red	JDIT	0.09	0.08	0.6846522609591954
X1-X2-Z_syn	JDIT	0.09	0.09	-2.2571230253540118
X1-X2-Z_syn-Z_red	JDIT	0.09	0.09	0.75640760299167
X1-X2-Z_syn	JDIT	0.09	0.1	-2.2107309331787066
X1-X2-Z_syn-Z_red	JDIT	0.09	0.1	0.8291740139283446
X1-X2-Z_syn	JDIT	0.09	0.2	-1.7722532512472502
X1-X2-Z_syn-Z_red	JDIT	0.09	0.2	1.3986426930768345
X1-X2-Z_syn	JDIT	0.09	0.3	-1.4423508853427465
X1-X2-Z_syn-Z_red	JDIT	0.09	0.3	1.77830330130503
X1-X2-Z_syn	JDIT	0.09	0.4	-1.2070510600947837
X1-X2-Z_syn-Z_red	JDIT	0.09	0.4	2.043594318066
X1-X2-Z_syn	JDIT	0.09	0.5	-1.019296551407674
X1-X2-Z_syn-Z_red	JDIT	0.09	0.5	2.257351524452725
X1-X2-Z_syn	JDIT	0.09	0.6	-0.8723995788868582
X1-X2-Z_syn-Z_red	JDIT	0.09	0.6	2.4282737157635905
X1-X2-Z_syn	JDIT	0.09	0.7	-0.7549287643720031
X1-X2-Z_syn-Z_red	JDIT	0.09	0.7	2.570023956055422
X1-X2-Z_syn	JDIT	0.09	0.8	-0.6600632015217355
X1-X2-Z_syn-Z_red	JDIT	0.09	0.8	2.6877983455771863
X1-X2-Z_syn	JDIT	0.09	0.9	-0.5749167367416541
X1-X2-Z_syn-Z_red	JDIT	0.09	0.9	2.7999960109347026
X1-X2-Z_syn	JDIT	0.09	0.91	-0.5668845538359621
X1-X2-Z_syn-Z_red	JDIT	0.09	0.91	2.8123390767435725
X1-X2-Z_syn	JDIT	0.09	0.92	-0.561371139089113
X1-X2-Z_syn-Z_red	JDIT	0.09	0.92	2.8182862735552026
X1-X2-Z_syn	JDIT	0.09	0.93	-0.5572994678302365
X1-X2-Z_syn-Z_red	JDIT	0.09	0.93	2.823642121490702
X1-X2-Z_syn	JDIT	0.09	0.94	-0.5494316639119287
X1-X2-Z_syn-Z_red	JDIT	0.09	0.94	2.836990305127144
X1-X2-Z_syn	JDIT	0.09	0.95	-0.5393011789622542
X1-X2-Z_syn-Z_red	JDIT	0.09	0.95	2.850963813150245
X1-X2-Z_syn	JDIT	0.09	0.96	-0.5348846697967831
X1-X2-Z_syn-Z_red	JDIT	0.09	0.96	2.8574692801162795
X1-X2-Z_syn	JDIT	0.09	0.97	-0.528920364947362
X1-X2-Z_syn-Z_red	JDIT	0.09	0.97	2.8658928476980323
X1-X2-Z_syn	JDIT	0.09	0.98	-0.5201860336966138
X1-X2-Z_syn-Z_red	JDIT	0.09	0.98	2.8771103336338975
X1-X2-Z_syn	JDIT	0.09	0.99	-0.515493525456719
X1-X2-Z_syn-Z_red	JDIT	0.09	0.99	2.8841049074869534
X1-X2-Z_syn	JDIT	0.1	0.01	-1.6264255409900656
X1-X2-Z_syn-Z_red	JDIT	0.1	0.01	0.5699847646930458
X1-X2-Z_syn	JDIT	0.1	0.02	-2.0257942830110496
X1-X2-Z_syn-Z_red	JDIT	0.1	0.02	0.4876788915688416
X1-X2-Z_syn	JDIT	0.1	0.03	-2.2201111162546914
X1-X2-Z_syn-Z_red	JDIT	0.1	0.03	0.43502746326263664
X1-X2-Z_syn	JDIT	0.1	0.04	-2.3198317279098823
X1-X2-Z_syn-Z_red	JDIT	0.1	0.04	0.41884792131054355
X1-X2-Z_syn	JDIT	0.1	0.05	-2.3612468021422397
X1-X2-Z_syn-Z_red	JDIT	0.1	0.05	0.439640777190459
X1-X2-Z_syn	JDIT	0.1	0.06	-2.36644240841049
X1-X2-Z_syn-Z_red	JDIT	0.1	0.06	0.49292183539455514
X1-X2-Z_syn	JDIT	0.1	0.07	-2.3569503906683416
X1-X2-Z_syn-Z_red	JDIT	0.1	0.07	0.5529447094763625
X1-X2-Z_syn	JDIT	0.1	0.08	-2.3303105397786528
X1-X2-Z_syn-Z_red	JDIT	0.1	0.08	0.6206815637329477
X1-X2-Z_syn	JDIT	0.1	0.09	-2.294225082784277
X1-X2-Z_syn-Z_red	JDIT	0.1	0.09	0.6910634987489787
X1-X2-Z_syn	JDIT	0.1	0.1	-2.2573262518955826
X1-X2-Z_syn-Z_red	JDIT	0.1	0.1	0.7551311768178678
X1-X2-Z_syn	JDIT	0.1	0.2	-1.8493192454102725
X1-X2-Z_syn-Z_red	JDIT	0.1	0.2	1.3066866718558385
X1-X2-Z_syn	JDIT	0.1	0.3	-1.5317229618893076
X1-X2-Z_syn-Z_red	JDIT	0.1	0.3	1.6773744827666608
X1-X2-Z_syn	JDIT	0.1	0.4	-1.291770560851822
X1-X2-Z_syn-Z_red	JDIT	0.1	0.4	1.9479974320080196
X1-X2-Z_syn	JDIT	0.1	0.5	-1.1099148587006458
X1-X2-Z_syn-Z_red	JDIT	0.1	0.5	2.1535084874647277
X1-X2-Z_syn	JDIT	0.1	0.6	-0.9579425640031127
X1-X2-Z_syn-Z_red	JDIT	0.1	0.6	2.328420199127639
X1-X2-Z_syn	JDIT	0.1	0.7	-0.8361085384850793
X1-X2-Z_syn-Z_red	JDIT	0.1	0.7	2.4705078454316847
X1-X2-Z_syn	JDIT	0.1	0.8	-0.7340335846478598
X1-X2-Z_syn-Z_red	JDIT	0.1	0.8	2.5937852265034467
X1-X2-Z_syn	JDIT	0.1	0.9	-0.6495169297554204
X1-X2-Z_syn-Z_red	JDIT	0.1	0.9	2.7013705767999214
X1-X2-Z_syn	JDIT	0.1	0.91	-0.6429064091011807
X1-X2-Z_syn-Z_red	JDIT	0.1	0.91	2.710248459053476
X1-X2-Z_syn	JDIT	0.1	0.92	-0.6345076810572958
X1-X2-Z_syn-Z_red	JDIT	0.1	0.92	2.7210809779680085
X1-X2-Z_syn	JDIT	0.1	0.93	-0.6284543578340659
X1-X2-Z_syn-Z_red	JDIT	0.1	0.93	2.729640765253896
X1-X2-Z_syn	JDIT	0.1	0.94	-0.6195728608641403
X1-X2-Z_syn-Z_red	JDIT	0.1	0.94	2.73914623304738
X1-X2-Z_syn	JDIT	0.1	0.95	-0.6107154685353475
X1-X2-Z_syn-Z_red	JDIT	0.1	0.95	2.7505276182314544
X1-X2-Z_syn	JDIT	0.1	0.96	-0.6059711213623059
X1-X2-Z_syn-Z_red	JDIT	0.1	0.96	2.7584138923029995
X1-X2-Z_syn	JDIT	0.1	0.97	-0.5987960418439532
X1-X2-Z_syn-Z_red	JDIT	0.1	0.97	2.7682255352136256
X1-X2-Z_syn	JDIT	0.1	0.98	-0.5914077100581462
X1-X2-Z_syn-Z_red	JDIT	0.1	0.98	2.7782599730288657
X1-X2-Z_syn	JDIT	0.1	0.99	-0.5847459154520024
X1-X2-Z_syn-Z_red	JDIT	0.1	0.99	2.7876154048707615
X1-X2-Z_syn	JDIT	0.2	0.01	-1.2192900361383376
X1-X2-Z_syn-Z_red	JDIT	0.2	0.01	0.6109431819142188
X1-X2-Z_syn	JDIT	0.2	0.02	-1.624423686787464
X1-X2-Z_syn-Z_red	JDIT	0.2	0.02	0.5733667624044287
X1-X2-Z_syn	JDIT	0.2	0.03	-1.8669253382137103
X1-X2-Z_syn-Z_red	JDIT	0.2	0.03	0.5224041458495653
X1-X2-Z_syn	JDIT	0.2	0.04	-2.027971565160743
X1-X2-Z_syn-Z_red	JDIT	0.2	0.04	0.4867127046071535
X1-X2-Z_syn	JDIT	0.2	0.05	-2.14286403361649
X1-X2-Z_syn-Z_red	JDIT	0.2	0.05	0.4520817137701326
X1-X2-Z_syn	JDIT	0.2	0.06	-2.2208282453981694
X1-X2-Z_syn-Z_red	JDIT	0.2	0.06	0.4354432585735829
X1-X2-Z_syn	JDIT	0.2	0.07	-2.2785435620764902
X1-X2-Z_syn-Z_red	JDIT	0.2	0.07	0.4222404615922124
X1-X2-Z_syn	JDIT	0.2	0.08	-2.3145852290083937
X1-X2-Z_syn-Z_red	JDIT	0.2	0.08	0.4274962852355973
X1-X2-Z_syn	JDIT	0.2	0.09	-2.3416039842480796
X1-X2-Z_syn-Z_red	JDIT	0.2	0.09	0.4333241827028713
X1-X2-Z_syn	JDIT	0.2	0.1	-2.3621189700984537
X1-X2-Z_syn-Z_red	JDIT	0.2	0.1	0.44130663716926916
X1-X2-Z_syn	JDIT	0.2	0.2	-2.2564385328167855
X1-X2-Z_syn-Z_red	JDIT	0.2	0.2	0.756832932045739
X1-X2-Z_syn	JDIT	0.2	0.3	-2.046470883260125
X1-X2-Z_syn-Z_red	JDIT	0.2	0.3	1.0592013384748744
X1-X2-Z_syn	JDIT	0.2	0.4	-1.8505447481324127
X1-X2-Z_syn-Z_red	JDIT	0.2	0.4	1.3066725453253112
X1-X2-Z_syn	JDIT	0.2	0.5	-1.677741912482972
X1-X2-Z_syn-Z_red	JDIT	0.2	0.5	1.5123134819783541
X1-X2-Z_syn	JDIT	0.2	0.6	-1.5325687744867644
X1-X2-Z_syn-Z_red	JDIT	0.2	0.6	1.6748192132992252
X1-X2-Z_syn	JDIT	0.2	0.7	-1.403010935961483
X1-X2-Z_syn-Z_red	JDIT	0.2	0.7	1.822678109178258
X1-X2-Z_syn	JDIT	0.2	0.8	-1.290116949488739
X1-X2-Z_syn-Z_red	JDIT	0.2	0.8	1.9506397172896643
X1-X2-Z_syn	JDIT	0.2	0.9	-1.1936818500705866
X1-X2-Z_syn-Z_red	JDIT	0.2	0.9	2.0607267974913155
X1-X2-Z_syn	JDIT	0.2	0.91	-1.1851753536211418
X1-X2-Z_syn-Z_red	JDIT	0.2	0.91	2.0699979167918907
X1-X2-Z_syn	JDIT	0.2	0.92	-1.1764234916624434
X1-X2-Z_syn-Z_red	JDIT	0.2	0.92	2.080327941401028
X1-X2-Z_syn	JDIT	0.2	0.93	-1.1681327681437499
X1-X2-Z_syn-Z_red	JDIT	0.2	0.93	2.0897814284664125
X1-X2-Z_syn	JDIT	0.2	0.94	-1.1604684480495593
X1-X2-Z_syn-Z_red	JDIT	0.2	0.94	2.0956619640893988
X1-X2-Z_syn	JDIT	0.2	0.95	-1.1497975341012443
X1-X2-Z_syn-Z_red	JDIT	0.2	0.95	2.109801435925854
X1-X2-Z_syn	JDIT	0.2	0.96	-1.1401968168775982
X1-X2-Z_syn-Z_red	JDIT	0.2	0.96	2.1184845422814664
X1-X2-Z_syn	JDIT	0.2	0.97	-1.1309392563239224
X1-X2-Z_syn-Z_red	JDIT	0.2	0.97	2.130868974415091
X1-X2-Z_syn	JDIT	0.2	0.98	-1.1255359164412957
X1-X2-Z_syn-Z_red	JDIT	0.2	0.98	2.1366817748187605
X1-X2-Z_syn	JDIT	0.2	0.99	-1.114740888323276
X1-X2-Z_syn-Z_red	JDIT	0.2	0.99	2.1493007147197347
X1-X2-Z_syn	JDIT	0.3	0.01	-1.0036458694934491
X1-X2-Z_syn-Z_red	JDIT	0.3	0.01	0.620358821830029
X1-X2-Z_syn	JDIT	0.3	0.02	-1.386159672126097
X1-X2-Z_syn-Z_red	JDIT	0.3	0.02	0.6035438332238979
X1-X2-Z_syn	JDIT	0.3	0.03	-1.6315955451677577
X1-X2-Z_syn-Z_red	JDIT	0.3	0.03	0.5694671451032953
X1-X2-Z_syn	JDIT	0.3	0.04	-1.7994464719667849
X1-X2-Z_syn-Z_red	JDIT	0.3	0.04	0.5403565575958329
X1-X2-Z_syn	JDIT	0.3	0.05	-1.9303146542632397
X1-X2-Z_syn-Z_red	JDIT	0.3	0.05	0.5087590058097485
X1-X2-Z_syn	JDIT	0.3	0.06	-2.030205349553353
X1-X2-Z_syn-Z_red	JDIT	0.3	0.06	0.4806836327877543
X1-X2-Z_syn	JDIT	0.3	0.07	-2.11085834280104
X1-X2-Z_syn-Z_red	JDIT	0.3	0.07	0.4649419936547055
X1-X2-Z_syn	JDIT	0.3	0.08	-2.1746274048029477
X1-X2-Z_syn-Z_red	JDIT	0.3	0.08	0.44246467368284403
X1-X2-Z_syn	JDIT	0.3	0.09	-2.220705292386355
X1-X2-Z_syn-Z_red	JDIT	0.3	0.09	0.430247685748688
X1-X2-Z_syn	JDIT	0.3	0.1	-2.2598696166643704
X1-X2-Z_syn-Z_red	JDIT	0.3	0.1	0.4261323821485208
X1-X2-Z_syn	JDIT	0.3	0.2	-2.3629747032424486
X1-X2-Z_syn-Z_red	JDIT	0.3	0.2	0.5324652561318949
X1-X2-Z_syn	JDIT	0.3	0.3	-2.2585507763355563
X1-X2-Z_syn-Z_red	JDIT	0.3	0.3	0.7521878288003913
X1-X2-Z_syn	JDIT	0.3	0.4	-2.118638319764465
X1-X2-Z_syn-Z_red	JDIT	0.3	0.4	0.9643948209800953
X1-X2-Z_syn	JDIT	0.3	0.5	-1.9814738699410448
X1-X2-Z_syn-Z_red	JDIT	0.3	0.5	1.1443919165512348
X1-X2-Z_syn	JDIT	0.3	0.6	-1.847703624967939
X1-X2-Z_syn-Z_red	JDIT	0.3	0.6	1.3095609977195335
X1-X2-Z_syn	JDIT	0.3	0.7	-1.73230193962157
X1-X2-Z_syn-Z_red	JDIT	0.3	0.7	1.4471514624870365
X1-X2-Z_syn	JDIT	0.3	0.8	-1.626907379974993
X1-X2-Z_syn-Z_red	JDIT	0.3	0.8	1.5671610083311953
X1-X2-Z_syn	JDIT	0.3	0.9	-1.5319927450315305
X1-X2-Z_syn-Z_red	JDIT	0.3	0.9	1.678255108264383
X1-X2-Z_syn	JDIT	0.3	0.91	-1.5224378184322305
X1-X2-Z_syn-Z_red	JDIT	0.3	0.91	1.6888212560993345
X1-X2-Z_syn	JDIT	0.3	0.92	-1.5163184078411045
X1-X2-Z_syn-Z_red	JDIT	0.3	0.92	1.6951539593149747
X1-X2-Z_syn	JDIT	0.3	0.93	-1.508590110717855
X1-X2-Z_syn-Z_red	JDIT	0.3	0.93	1.7052383129783617
X1-X2-Z_syn	JDIT	0.3	0.94	-1.500007892044224
X1-X2-Z_syn-Z_red	JDIT	0.3	0.94	1.7114111696993954
X1-X2-Z_syn	JDIT	0.3	0.95	-1.48867739481557
X1-X2-Z_syn-Z_red	JDIT	0.3	0.95	1.7261191588533986
X1-X2-Z_syn	JDIT	0.3	0.96	-1.4803965870811688
X1-X2-Z_syn-Z_red	JDIT	0.3	0.96	1.7354219007839564
X1-X2-Z_syn	JDIT	0.3	0.97	-1.4694136959663033
X1-X2-Z_syn-Z_red	JDIT	0.3	0.97	1.7507487654984157
X1-X2-Z_syn	JDIT	0.3	0.98	-1.4609515386581347
X1-X2-Z_syn-Z_red	JDIT	0.3	0.98	1.75752466902378
X1-X2-Z_syn	JDIT	0.3	0.99	-1.4505497167880814
X1-X2-Z_syn-Z_red	JDIT	0.3	0.99	1.769393004938016
X1-X2-Z_syn	JDIT	0.4	0.01	-0.8538018785988575
X1-X2-Z_syn-Z_red	JDIT	0.4	0.01	0.6232485942427337
X1-X2-Z_syn	JDIT	0.4	0.02	-1.2215584959081105
X1-X2-Z_syn-Z_red	JDIT	0.4	0.02	0.6116139298848183
X1-X2-Z_syn	JDIT	0.4	0.03	-1.4531558318612554
X1-X2-Z_syn-Z_red	JDIT	0.4	0.03	0.5973690922360463
X1-X2-Z_syn	JDIT	0.4	0.04	-1.6226231879740562
X1-X2-Z_syn-Z_red	JDIT	0.4	0.04	0.5730976038343343
X1-X2-Z_syn	JDIT	0.4	0.05	-1.7582634618327213
X1-X2-Z_syn-Z_red	JDIT	0.4	0.05	0.5494941633232353
X1-X2-Z_syn	JDIT	0.4	0.06	-1.8660851794717306
X1-X2-Z_syn-Z_red	JDIT	0.4	0.06	0.5293521062066421
X1-X2-Z_syn	JDIT	0.4	0.07	-1.9551922914956321
X1-X2-Z_syn-Z_red	JDIT	0.4	0.07	0.505135948910292
X1-X2-Z_syn	JDIT	0.4	0.08	-2.031896459820891
X1-X2-Z_syn-Z_red	JDIT	0.4	0.08	0.48161065196932845
X1-X2-Z_syn	JDIT	0.4	0.09	-2.0885038532317752
X1-X2-Z_syn-Z_red	JDIT	0.4	0.09	0.46734760089498006
X1-X2-Z_syn	JDIT	0.4	0.1	-2.1430138091423654
X1-X2-Z_syn-Z_red	JDIT	0.4	0.1	0.4534220536322381
X1-X2-Z_syn	JDIT	0.4	0.2	-2.3599503305859892
X1-X2-Z_syn-Z_red	JDIT	0.4	0.2	0.4499332557796783
X1-X2-Z_syn	JDIT	0.4	0.3	-2.3475510260775256
X1-X2-Z_syn-Z_red	JDIT	0.4	0.3	0.5795181028283338
X1-X2-Z_syn	JDIT	0.4	0.4	-2.257422279473497
X1-X2-Z_syn-Z_red	JDIT	0.4	0.4	0.757373685144793
X1-X2-Z_syn	JDIT	0.4	0.5	-2.154564453998932
X1-X2-Z_syn-Z_red	JDIT	0.4	0.5	0.9105171501288479
X1-X2-Z_syn	JDIT	0.4	0.6	-2.0495846816409804
X1-X2-Z_syn-Z_red	JDIT	0.4	0.6	1.056272987314235
X1-X2-Z_syn	JDIT	0.4	0.7	-1.9471686602685536
X1-X2-Z_syn-Z_red	JDIT	0.4	0.7	1.1872949584288781
X1-X2-Z_syn	JDIT	0.4	0.8	-1.848637339331178
X1-X2-Z_syn-Z_red	JDIT	0.4	0.8	1.3089637206761022
X1-X2-Z_syn	JDIT	0.4	0.9	-1.76621612004109
X1-X2-Z_syn-Z_red	JDIT	0.4	0.9	1.4058780419120385
X1-X2-Z_syn	JDIT	0.4	0.91	-1.7491038004875434
X1-X2-Z_syn-Z_red	JDIT	0.4	0.91	1.4253722120957026
X1-X2-Z_syn	JDIT	0.4	0.92	-1.7450033180794282
X1-X2-Z_syn-Z_red	JDIT	0.4	0.92	1.4314997159518899
X1-X2-Z_syn	JDIT	0.4	0.93	-1.734426354752609
X1-X2-Z_syn-Z_red	JDIT	0.4	0.93	1.4448357468974433
X1-X2-Z_syn	JDIT	0.4	0.94	-1.7280480591307394
X1-X2-Z_syn-Z_red	JDIT	0.4	0.94	1.4498105501625023
X1-X2-Z_syn	JDIT	0.4	0.95	-1.7210926301703815
X1-X2-Z_syn-Z_red	JDIT	0.4	0.95	1.4586132014927513
X1-X2-Z_syn	JDIT	0.4	0.96	-1.7134851809975646
X1-X2-Z_syn-Z_red	JDIT	0.4	0.96	1.4687278733826734
X1-X2-Z_syn	JDIT	0.4	0.97	-1.7096360441520058
X1-X2-Z_syn-Z_red	JDIT	0.4	0.97	1.4726691637276383
X1-X2-Z_syn	JDIT	0.4	0.98	-1.6992992568363139
X1-X2-Z_syn-Z_red	JDIT	0.4	0.98	1.4858902821683055
X1-X2-Z_syn	JDIT	0.4	0.99	-1.6903647689811172
X1-X2-Z_syn-Z_red	JDIT	0.4	0.99	1.495369304313146
X1-X2-Z_syn	JDIT	0.5	0.01	-0.7347310063150803
X1-X2-Z_syn-Z_red	JDIT	0.5	0.01	0.6320053791416875
X1-X2-Z_syn	JDIT	0.5	0.02	-1.0964821373599982
X1-X2-Z_syn-Z_red	JDIT	0.5	0.02	0.6163472193116345
X1-X2-Z_syn	JDIT	0.5	0.03	-1.3282073845653946
X1-X2-Z_syn-Z_red	JDIT	0.5	0.03	0.6011647489495057
X1-X2-Z_syn	JDIT	0.5	0.04	-1.4961314665690755
X1-X2-Z_syn-Z_red	JDIT	0.5	0.04	0.5909942295624393
X1-X2-Z_syn	JDIT	0.5	0.05	-1.6220733384858093
X1-X2-Z_syn-Z_red	JDIT	0.5	0.05	0.5754225140949212
X1-X2-Z_syn	JDIT	0.5	0.06	-1.7282796039075972
X1-X2-Z_syn-Z_red	JDIT	0.5	0.06	0.5558479613937284
X1-X2-Z_syn	JDIT	0.5	0.07	-1.8265197880970672
X1-X2-Z_syn-Z_red	JDIT	0.5	0.07	0.5342565889437297
X1-X2-Z_syn	JDIT	0.5	0.08	-1.90424285888609
X1-X2-Z_syn-Z_red	JDIT	0.5	0.08	0.5161354819139274
X1-X2-Z_syn	JDIT	0.5	0.09	-1.9742586127606843
X1-X2-Z_syn-Z_red	JDIT	0.5	0.09	0.49891902696396473
X1-X2-Z_syn	JDIT	0.5	0.1	-2.033102435950318
X1-X2-Z_syn-Z_red	JDIT	0.5	0.1	0.4836296241076887
X1-X2-Z_syn	JDIT	0.5	0.2	-2.317964606861667
X1-X2-Z_syn-Z_red	JDIT	0.5	0.2	0.4237246091031161
X1-X2-Z_syn	JDIT	0.5	0.3	-2.367420176128287
X1-X2-Z_syn-Z_red	JDIT	0.5	0.3	0.4965882416392513
X1-X2-Z_syn	JDIT	0.5	0.4	-2.331265298666318
X1-X2-Z_syn-Z_red	JDIT	0.5	0.4	0.6187521768433586
X1-X2-Z_syn	JDIT	0.5	0.5	-2.259595421980147
X1-X2-Z_syn-Z_red	JDIT	0.5	0.5	0.7521488822561673
X1-X2-Z_syn	JDIT	0.5	0.6	-2.1767971831351227
X1-X2-Z_syn-Z_red	JDIT	0.5	0.6	0.8818234165480148
X1-X2-Z_syn	JDIT	0.5	0.7	-2.087120775995344
X1-X2-Z_syn-Z_red	JDIT	0.5	0.7	1.004851876276222
X1-X2-Z_syn	JDIT	0.5	0.8	-2.0067573268235774
X1-X2-Z_syn-Z_red	JDIT	0.5	0.8	1.1109524903339918
X1-X2-Z_syn	JDIT	0.5	0.9	-1.9251342673185643
X1-X2-Z_syn-Z_red	JDIT	0.5	0.9	1.2139058204841522
X1-X2-Z_syn	JDIT	0.5	0.91	-1.9185532568761463
X1-X2-Z_syn-Z_red	JDIT	0.5	0.91	1.2207352174191608
X1-X2-Z_syn	JDIT	0.5	0.92	-1.9127747821455365
X1-X2-Z_syn-Z_red	JDIT	0.5	0.92	1.2279239418680157
X1-X2-Z_syn	JDIT	0.5	0.93	-1.9013028774250529
X1-X2-Z_syn-Z_red	JDIT	0.5	0.93	1.244770417849931
X1-X2-Z_syn	JDIT	0.5	0.94	-1.8930071996391251
X1-X2-Z_syn-Z_red	JDIT	0.5	0.94	1.253025308467802
X1-X2-Z_syn	JDIT	0.5	0.95	-1.8893513342795127
X1-X2-Z_syn-Z_red	JDIT	0.5	0.95	1.2593427066006002
X1-X2-Z_syn	JDIT	0.5	0.96	-1.8753423109400167
X1-X2-Z_syn-Z_red	JDIT	0.5	0.96	1.2765514433022278
X1-X2-Z_syn	JDIT	0.5	0.97	-1.86851850167464
X1-X2-Z_syn-Z_red	JDIT	0.5	0.97	1.2862388749941234
X1-X2-Z_syn	JDIT	0.5	0.98	-1.8619567463545146
X1-X2-Z_syn-Z_red	JDIT	0.5	0.98	1.291794874835011
X1-X2-Z_syn	JDIT	0.5	0.99	-1.8550285694158308
X1-X2-Z_syn-Z_red	JDIT	0.5	0.99	1.3025039628469215
X1-X2-Z_syn	JDIT	0.6	0.01	-0.6437133411852585
