n-plet	method	alpha	beta	O-information
X1-X2-Z_syn	JDIT	0.02	0.3	-0.33687870439356943
X1-X2-Z_syn-Z_red	JDIT	0.02	0.3	3.1708734628686592
X1-X2-Z_syn	JDIT	0.02	0.4	-0.20944564213797076
X1-X2-Z_syn-Z_red	JDIT	0.02	0.4	3.416296774948653
X1-X2-Z_syn	JDIT	0.02	0.5	-0.13607088857090646
X1-X2-Z_syn-Z_red	JDIT	0.02	0.5	3.5704643126654716
X1-X2-Z_syn	JDIT	0.02	0.6	-0.08855032035628992
X1-X2-Z_syn-Z_red	JDIT	0.02	0.6	3.6725910955057066
X1-X2-Z_syn	JDIT	0.02	0.7	-0.05323566586546143
X1-X2-Z_syn-Z_red	JDIT	0.02	0.7	3.747460421214222
X1-X2-Z_syn	JDIT	0.02	0.8	-0.028474671262590366
X1-X2-Z_syn-Z_red	JDIT	0.02	0.8	3.799511524902446
X1-X2-Z_syn	JDIT	0.02	0.9	-0.009579327609565497
X1-X2-Z_syn-Z_red	JDIT	0.02	0.9	3.838150951769868
X1-X2-Z_syn	JDIT	0.02	0.91	-0.009917979742389988
X1-X2-Z_syn-Z_red	JDIT	0.02	0.91	3.838508373264625
X1-X2-Z_syn	JDIT	0.02	0.92	-0.008209485499325755
X1-X2-Z_syn-Z_red	JDIT	0.02	0.92	3.8425835521269938
X1-X2-Z_syn	JDIT	0.02	0.93	-0.006636133063688242
X1-X2-Z_syn-Z_red	JDIT	0.02	0.93	3.845802409984272
X1-X2-Z_syn	JDIT	0.02	0.94	-0.005708142307798115
X1-X2-Z_syn-Z_red	JDIT	0.02	0.94	3.846704110851028
X1-X2-Z_syn	JDIT	0.02	0.95	-0.0019720294511719294
X1-X2-Z_syn-Z_red	JDIT	0.02	0.95	3.853755889857736
X1-X2-Z_syn	JDIT	0.02	0.96	-0.0030505879921583325
X1-X2-Z_syn-Z_red	JDIT	0.02	0.96	3.853010817732476
X1-X2-Z_syn	JDIT	0.02	0.97	7.005380653873454E-5
X1-X2-Z_syn-Z_red	JDIT	0.02	0.97	3.8580912061820336
X1-X2-Z_syn	JDIT	0.02	0.98	0.0022675984793012593
X1-X2-Z_syn-Z_red	JDIT	0.02	0.98	3.862120851202845
X1-X2-Z_syn	JDIT	0.02	0.99	0.0029450988514306484
X1-X2-Z_syn-Z_red	JDIT	0.02	0.99	3.863940779477658
X1-X2-Z_syn	JDIT	0.03	0.01	-2.2541463068838588
X1-X2-Z_syn-Z_red	JDIT	0.03	0.01	0.43171438794554984
X1-X2-Z_syn	JDIT	0.03	0.02	-2.362639404038089
X1-X2-Z_syn-Z_red	JDIT	0.03	0.02	0.5323011623736493
X1-X2-Z_syn	JDIT	0.03	0.03	-2.2591428612083013
X1-X2-Z_syn-Z_red	JDIT	0.03	0.03	0.7523406453925188
X1-X2-Z_syn	JDIT	0.03	0.04	-2.116949559609412
X1-X2-Z_syn-Z_red	JDIT	0.03	0.04	0.963742664484758
X1-X2-Z_syn	JDIT	0.03	0.05	-1.9808336396098973
X1-X2-Z_syn-Z_red	JDIT	0.03	0.05	1.1444284356063705
X1-X2-Z_syn	JDIT	0.03	0.06	-1.85113133196651
X1-X2-Z_syn-Z_red	JDIT	0.03	0.06	1.303050918204454
X1-X2-Z_syn	JDIT	0.03	0.07	-1.7305997211570052
X1-X2-Z_syn-Z_red	JDIT	0.03	0.07	1.4485874601334081
X1-X2-Z_syn	JDIT	0.03	0.08	-1.6308099472318887
X1-X2-Z_syn-Z_red	JDIT	0.03	0.08	1.5613438652356977
X1-X2-Z_syn	JDIT	0.03	0.09	-1.5348763888770252
X1-X2-Z_syn-Z_red	JDIT	0.03	0.09	1.6734692614433686
X1-X2-Z_syn	JDIT	0.03	0.1	-1.4440960288331017
X1-X2-Z_syn-Z_red	JDIT	0.03	0.1	1.777468795070315
X1-X2-Z_syn	JDIT	0.03	0.2	-0.8759777873189691
X1-X2-Z_syn-Z_red	JDIT	0.03	0.2	2.4246078950181515
X1-X2-Z_syn	JDIT	0.03	0.3	-0.5750664585954035
X1-X2-Z_syn-Z_red	JDIT	0.03	0.3	2.79992237802351
X1-X2-Z_syn	JDIT	0.03	0.4	-0.39970514034251414
X1-X2-Z_syn-Z_red	JDIT	0.03	0.4	3.063911890998236
X1-X2-Z_syn	JDIT	0.03	0.5	-0.28629899770656003
X1-X2-Z_syn-Z_red	JDIT	0.03	0.5	3.265850972121097
X1-X2-Z_syn	JDIT	0.03	0.6	-0.20855624499304865
X1-X2-Z_syn-Z_red	JDIT	0.03	0.6	3.4163007629729543
X1-X2-Z_syn	JDIT	0.03	0.7	-0.1569625992940758
X1-X2-Z_syn-Z_red	JDIT	0.03	0.7	3.5261115288092113
X1-X2-Z_syn	JDIT	0.03	0.8	-0.11966722573307687
X1-X2-Z_syn-Z_red	JDIT	0.03	0.8	3.6072280434765878
X1-X2-Z_syn	JDIT	0.03	0.9	-0.08422336129182803
X1-X2-Z_syn-Z_red	JDIT	0.03	0.9	3.678952221302648
X1-X2-Z_syn	JDIT	0.03	0.91	-0.0824223656574599
X1-X2-Z_syn-Z_red	JDIT	0.03	0.91	3.6845328591646136
X1-X2-Z_syn	JDIT	0.03	0.92	-0.08310206338975192
X1-X2-Z_syn-Z_red	JDIT	0.03	0.92	3.6852043516303445
X1-X2-Z_syn	JDIT	0.03	0.93	-0.07914307715703664
X1-X2-Z_syn-Z_red	JDIT	0.03	0.93	3.692779149189122
X1-X2-Z_syn	JDIT	0.03	0.94	-0.07900711965629881
X1-X2-Z_syn-Z_red	JDIT	0.03	0.94	3.6944479273292066
X1-X2-Z_syn	JDIT	0.03	0.95	-0.07442881483821705
X1-X2-Z_syn-Z_red	JDIT	0.03	0.95	3.7018357295275655
X1-X2-Z_syn	JDIT	0.03	0.96	-0.07181158195693152
X1-X2-Z_syn-Z_red	JDIT	0.03	0.96	3.7079222198408033
X1-X2-Z_syn	JDIT	0.03	0.97	-0.07049449276222494
