n_variables	n_samples	real_entropy	gcmi_entropy	npeet_entropy
3	10	4.044584365470307	6.183538042633974	5.08874627451351
3	15	4.044584365470307	6.4328749097171825	4.6260395574335345
3	100	4.044584365470307	5.297706606303333	4.84084914463799
3	150	4.044584365470307	5.8247320459719525	5.2751014263616876
3	1000	4.044584365470307	5.887103512928144	5.000818409612633
3	1500	4.044584365470307	5.789396165348544	4.909641614516592
3	10000	4.044584365470307	5.8338990729314375	4.96821516321601
3	15000	4.044584365470307	5.810791731224956	4.9713017534132105
3	100000	4.044584365470307	5.823610305906436	4.970469281138669
3	150000	4.044584365470307	5.821641875034134	4.976646331170136
3	1000000	4.044584365470307	5.836628559601753	4.978524543098871
3	1500000	4.044584365470307	5.831128192337778	4.9777275206265506
3	10	3.454953590962563	6.293030621962353	4.873495404312937
3	15	3.454953590962563	6.081610617271109	3.483776785966287
3	100	3.454953590962563	4.971833465734642	5.0162693773036535
3	150	3.454953590962563	5.035490304682325	5.01718262379574
3	1000	3.454953590962563	4.947968947786051	5.11419841237987
3	1500	3.454953590962563	4.89296267353954	5.175601085162529
3	10000	3.454953590962563	4.947683335196775	5.2215282024070655
3	15000	3.454953590962563	4.968831025209603	5.218436351318446
3	100000	3.454953590962563	4.971595935797628	5.220267548464586
3	150000	3.454953590962563	4.960276438966758	5.229463842756816
3	1000000	3.454953590962563	4.982521633998358	5.232100923894017
3	1500000	3.454953590962563	4.978380847027744	5.22677879179776
3	10	4.1542185194489285	5.2038063295625925	5.580036680918901
3	15	4.1542185194489285	5.820189579634576	5.566394191194913
3	100	4.1542185194489285	5.852631821424974	5.479608127535438
3	150	4.1542185194489285	6.0196448176434245	5.542777433227085
3	1000	4.1542185194489285	5.9641011779828	5.628146062613123
3	1500	4.1542185194489285	5.904837857890261	5.596360494960178
3	10000	4.1542185194489285	5.984140608465794	5.562898628114109
3	15000	4.1542185194489285	5.942622158492139	5.607807411784344
3	100000	4.1542185194489285	5.987487638875648	5.582480857982356
3	150000	4.1542185194489285	5.985196722008909	5.586627086827588
3	1000000	4.1542185194489285	5.989283796957623	5.586465122847279
3	1500000	4.1542185194489285	5.990026192715559	5.587008633304079
3	10	4.134697190756888	6.119299566472042	4.891828643433358
3	15	4.134697190756888	5.407735893398242	4.7206559762656255
3	100	4.134697190756888	6.041403187275233	5.2423665945177085
3	150	4.134697190756888	5.83405697127195	5.297361071220282
3	1000	4.134697190756888	5.9600609205629445	5.2993632517627764
3	1500	4.134697190756888	5.874288864454819	5.26953934643278
3	10000	4.134697190756888	5.956411263384268	5.300600767580189
3	15000	4.134697190756888	5.944752701728197	5.3057681353558594
3	100000	4.134697190756888	5.957938652773438	5.3128997967761125
3	150000	4.134697190756888	5.951891322362956	5.309579764858664
3	1000000	4.134697190756888	5.961931646539311	5.3137934269373215
3	1500000	4.134697190756888	5.961032125711775	5.315530840202726
3	10	3.8847273503065307	4.867387451968475	5.772409736031364
3	15	3.8847273503065307	5.854072454741955	5.531814649650145
3	100	3.8847273503065307	5.456942277776621	5.5839994079036055
3	150	3.8847273503065307	5.358464938966245	5.641883567479594
3	1000	3.8847273503065307	5.519947425721226	5.794342392030084
3	1500	3.8847273503065307	5.5811287801752325	5.747579982404086
3	10000	3.8847273503065307	5.585752995007005	5.777399351949893
3	15000	3.8847273503065307	5.599626940074657	5.783901278905659
3	100000	3.8847273503065307	5.58773207768807	5.778396543343422
3	150000	3.8847273503065307	5.595674420586633	5.771687269445808
3	1000000	3.8847273503065307	5.603265092622471	5.773922303496432
3	1500000	3.8847273503065307	5.603558439100792	5.774610753620446
3	10	4.137808307110847	6.078678459140425	5.814330368356644
3	15	4.137808307110847	5.858704779879544	4.992841316329232
3	100	4.137808307110847	6.2751633080759595	5.686129218809502
3	150	4.137808307110847	6.18562034720403	5.431836164458163
3	1000	4.137808307110847	5.933815444206204	5.669456604626024
3	1500	4.137808307110847	6.018695110966133	5.710241791014383
3	10000	4.137808307110847	5.9515382602733045	5.726927141286092
3	15000	4.137808307110847	5.937772876877735	5.739619734404051
3	100000	4.137808307110847	5.971548600557413	5.740738195623026
3	150000	4.137808307110847	5.964570779493127	5.741400048991593
3	1000000	4.137808307110847	5.968360178548164	5.742295606447218
3	1500000	4.137808307110847	5.967871443592103	5.740792000163583
3	10	3.8618694673155542	7.23256856418539	4.693116821657937
3	15	3.8618694673155542	5.40390734572511	5.311040696861802
3	100	3.8618694673155542	5.575826726068553	5.3531766436783395
3	150	3.8618694673155542	5.473784606468306	5.443161150659392
3	1000	3.8618694673155542	5.474514070472508	5.373681195852436
3	1500	3.8618694673155542	5.537040149809138	5.456953626290906
3	10000	3.8618694673155542	5.537233157478894	5.47551336702448
3	15000	3.8618694673155542	5.526169939507917	5.468338566105578
3	100000	3.8618694673155542	5.566743729654888	5.480111152026468
3	150000	3.8618694673155542	5.553915644224822	5.4745506132423785
3	1000000	3.8618694673155542	5.572207731852051	5.4797210379559464
3	1500000	3.8618694673155542	5.56851261730726	5.4788287340098245
3	10	3.774646532087556	5.789817676075313	3.9351216733118646
3	15	3.774646532087556	6.307878479125217	4.1441437602682845
3	100	3.774646532087556	5.5571807212718936	4.821941470471686
3	150	3.774646532087556	5.348842267704222	4.851725162695383
3	1000	3.774646532087556	5.564951509157251	4.891962495188462
3	1500	3.774646532087556	5.385508757216116	4.946896275002318
3	10000	3.774646532087556	5.400218297107229	4.94750225798975
3	15000	3.774646532087556	5.425110271178044	4.972296429602681
3	100000	3.774646532087556	5.454807013222637	4.966758263906212
3	150000	3.774646532087556	5.447057583688022	4.966495091088603
3	1000000	3.774646532087556	5.442321540449552	4.964546169141856
3	1500000	3.774646532087556	5.443899484046808	4.963872044402564
3	10	4.471032410053104	6.308319271837471	5.7425599979170014
3	15	4.471032410053104	6.860072768374093	5.796430194953269
3	100	4.471032410053104	6.447257332425834	5.888167783192899
3	150	4.471032410053104	6.286069296253495	5.828715108684524
3	1000	4.471032410053104	6.300546040803199	5.98014405833744
3	1500	4.471032410053104	6.445112738488882	5.955033811497943
3	10000	4.471032410053104	6.436856705384156	5.970398620057031
3	15000	4.471032410053104	6.402063444497647	5.982199836339103
3	100000	4.471032410053104	6.450622672066275	5.980870154682042
3	150000	4.471032410053104	6.443052992718664	5.980014374440136
3	1000000	4.471032410053104	6.4485294197497876	5.982283168164419
3	1500000	4.471032410053104	6.450259979032077	5.982134675444398
3	10	3.451231918376413	5.769042656230797	3.8240763788808834
3	15	3.451231918376413	4.907442428599862	4.330395906173122
3	100	3.451231918376413	5.230285743468892	4.618282286513166
3	150	3.451231918376413	4.891877160891265	4.649681827585546
3	1000	3.451231918376413	4.884183541950345	4.59408134829987
3	1500	3.451231918376413	4.845491315862674	4.582298198914858
3	10000	3.451231918376413	4.944752007101636	4.62257093890333
3	15000	3.451231918376413	4.951870357507374	4.591393139953458
3	100000	3.451231918376413	4.975204707146097	4.611930054045173
3	150000	3.451231918376413	4.975687678633741	4.600434690657075
3	1000000	3.451231918376413	4.975754608538933	4.605211741786273
3	1500000	3.451231918376413	4.975395412448355	4.606297217472156
3	10	4.184050232016752	7.167046515350938	5.5871443487229
