n_variables	n_samples	real_entropy	gcmi_entropy	npeet_entropy
3	10	3.7151081278937097	4.067646391668896	4.031927784388335
3	15	3.7151081278937097	3.8104590936888876	4.466480724354216
3	100	3.7151081278937097	3.848333748523138	4.491269697988415
3	150	3.7151081278937097	3.574853764213901	4.9052445557586
3	1000	3.7151081278937097	3.6247565565930984	4.91982636640045
3	1500	3.7151081278937097	3.6911534093025278	4.953561359297529
3	10000	3.7151081278937097	3.6997514817400106	4.934612419194509
3	15000	3.7151081278937097	3.695877404592176	4.937214676722768
3	100000	3.7151081278937097	3.714180791919482	4.9326793641841356
3	150000	3.7151081278937097	3.711643905772558	4.947217008551878
3	1000000	3.7151081278937097	3.7107028533770396	4.9322580844957695
3	1500000	3.7151081278937097	3.714516742236432	4.936983911300489
3	10	4.2307106441917774	3.68524382911741	5.1987746557708485
3	15	4.2307106441917774	4.3914065752776805	5.339713667297765
3	100	4.2307106441917774	4.360847736668865	5.854497245303177
3	150	4.2307106441917774	4.24109897484373	5.964231797025132
3	1000	4.2307106441917774	4.175114952510434	5.973193057733038
3	1500	4.2307106441917774	4.201057647667179	5.963280373305472
3	10000	4.2307106441917774	4.225475960037464	5.982140515261758
3	15000	4.2307106441917774	4.211626587359862	5.965738427801937
3	100000	4.2307106441917774	4.229552965622769	5.979672966231275
3	150000	4.2307106441917774	4.226611097115841	5.980061224451711
3	1000000	4.2307106441917774	4.229489336143969	5.980083778859017
3	1500000	4.2307106441917774	4.229276501620481	5.980670377668173
3	10	3.435770732355482	4.246688970316631	4.07162882309966
3	15	3.435770732355482	3.5045255575860494	4.454521077657944
3	100	3.435770732355482	3.3703423889942306	4.520028379051655
3	150	3.435770732355482	3.4035206217419387	4.610681276259877
3	1000	3.435770732355482	3.3437419392288383	4.575696736515472
3	1500	3.435770732355482	3.3810217385679113	4.619258731818219
3	10000	3.435770732355482	3.3930702549443694	4.59437121750008
3	15000	3.435770732355482	3.422535035975005	4.607190436337066
3	100000	3.435770732355482	3.426466635501395	4.600418889165723
3	150000	3.435770732355482	3.428432363822292	4.606724355894513
3	1000000	3.435770732355482	3.4316638393682535	4.599273729461408
3	1500000	3.435770732355482	3.4347018882678366	4.601849220184515
3	10	3.874355672679076	4.354648715911743	4.563779607949471
3	15	3.874355672679076	3.946428175016677	4.599379569867678
3	100	3.874355672679076	3.827830777848579	4.976250594723647
3	150	3.874355672679076	3.9385508484455483	4.93945877437408
3	1000	3.874355672679076	3.9092922732552102	4.999625352875215
3	1500	3.874355672679076	3.7904032962941674	5.023769873961649
3	10000	3.874355672679076	3.84924243586687	5.016263343307588
3	15000	3.874355672679076	3.8619150375038043	5.008982412114829
3	100000	3.874355672679076	3.8611577124012406	5.032956623742036
3	150000	3.874355672679076	3.861835989603243	5.024200791519466
3	1000000	3.874355672679076	3.873208641893294	5.02621389113027
3	1500000	3.874355672679076	3.8722531683877186	5.02887654389086
3	10	3.1667441135664043	3.7373857268945256	5.700911971047731
3	15	3.1667441135664043	3.9727578252157194	5.424775584235615
3	100	3.1667441135664043	3.0484532913484976	5.505609884982111
3	150	3.1667441135664043	3.3062393164156187	5.4968085062970315
3	1000	3.1667441135664043	3.1640232512002315	5.6144871155139215
3	1500	3.1667441135664043	3.164780106035616	5.638992868492134
3	10000	3.1667441135664043	3.1308331215519303	5.677617611385963
3	15000	3.1667441135664043	3.1710661734491747	5.657698939599673
3	100000	3.1667441135664043	3.1631635145657775	5.6642031539332125
3	150000	3.1667441135664043	3.163698588599008	5.662569567618824
3	1000000	3.1667441135664043	3.16421349708871	5.6700185573369986
3	1500000	3.1667441135664043	3.164021260310106	5.67116581918818
