sample size	iteration	time
15000	9	931.0
15000	10	949.0
15000	11	1006.0
15000	12	956.0
15000	13	935.0
15000	14	1080.0
15000	15	930.0
15000	16	1047.0
15000	17	941.0
15000	18	947.0
15000	19	973.0
15000	20	936.0
15000	21	946.0
15000	22	1052.0
15000	23	947.0
15000	24	934.0
15000	25	940.0
15000	26	944.0
15000	27	954.0
15000	28	934.0
15000	29	963.0
15000	30	1023.0
15000	31	944.0
15000	32	934.0
15000	33	946.0
15000	34	937.0
15000	35	950.0
15000	36	938.0
15000	37	999.0
15000	38	938.0
15000	39	942.0
15000	40	1018.0
15000	41	944.0
15000	42	961.0
15000	43	948.0
15000	44	936.0
15000	45	1054.0
15000	46	950.0
15000	47	999.0
15000	48	947.0
15000	49	951.0
15000	50	958.0
15000	51	966.0
15000	52	945.0
15000	53	949.0
15000	54	949.0
15000	55	951.0
15000	56	1046.0
15000	57	1062.0
15000	58	1055.0
15000	59	1070.0
15000	60	1045.0
15000	61	1085.0
15000	62	1031.0
15000	63	1084.0
15000	64	1083.0
15000	65	1092.0
15000	66	1060.0
15000	67	987.0
15000	68	1104.0
15000	69	1039.0
15000	70	1127.0
15000	71	1056.0
15000	72	1149.0
15000	73	1084.0
15000	74	1109.0
15000	75	1013.0
15000	76	1034.0
15000	77	999.0
15000	78	987.0
15000	79	1068.0
15000	80	1058.0
15000	81	970.0
15000	82	1000.0
15000	83	1002.0
15000	84	1026.0
15000	85	1040.0
15000	86	1017.0
15000	87	1059.0
15000	88	1043.0
15000	89	1024.0
15000	90	991.0
15000	91	969.0
15000	92	1011.0
15000	93	984.0
15000	94	980.0
15000	95	992.0
15000	96	1030.0
15000	97	1092.0
15000	98	1042.0
15000	99	1013.0
20000	0	1635.0
20000	1	1532.0
20000	2	1546.0
20000	3	1529.0
20000	4	1590.0
20000	5	1540.0
20000	6	1521.0
20000	7	1524.0
20000	8	1526.0
20000	9	1670.0
20000	10	1518.0
20000	11	1527.0
20000	12	1530.0
20000	13	1534.0
20000	14	1515.0
20000	15	1742.0
20000	16	1765.0
20000	17	1634.0
20000	18	1616.0
20000	19	1635.0
20000	20	1657.0
20000	21	1628.0
20000	22	1535.0
20000	23	2150.0
20000	24	2371.0
20000	25	2635.0
20000	26	2671.0
20000	27	2642.0
20000	28	2611.0
20000	29	2618.0
20000	30	2664.0
20000	31	2474.0
20000	32	2682.0
20000	33	2620.0
20000	34	2647.0
20000	35	2605.0
20000	36	2521.0
20000	37	2625.0
20000	38	2555.0
20000	39	2564.0
20000	40	2539.0
20000	41	2677.0
20000	42	2663.0
20000	43	2494.0
20000	44	2550.0
20000	45	2458.0
20000	46	2541.0
20000	47	2503.0
20000	48	2512.0
20000	49	2503.0
20000	50	2611.0
20000	51	4863.0
20000	52	2942.0
20000	53	3208.0
20000	54	2642.0
20000	55	2474.0
20000	56	2624.0
20000	57	2610.0
20000	58	2592.0
20000	59	2640.0
20000	60	2579.0
20000	61	2725.0
20000	62	2542.0
20000	63	2556.0
20000	64	2539.0
20000	65	2608.0
20000	66	2608.0
20000	67	2552.0
20000	68	2557.0
20000	69	2611.0
20000	70	2559.0
20000	71	2549.0
20000	72	2513.0
20000	73	2522.0
20000	74	2627.0
20000	75	2666.0
20000	76	2538.0
20000	77	2542.0
20000	78	2541.0
20000	79	2465.0
20000	80	2538.0
20000	81	2493.0
20000	82	2730.0
20000	83	2494.0
20000	84	2526.0
20000	85	2622.0
20000	86	2364.0
20000	87	2608.0
20000	88	2527.0
20000	89	2567.0
20000	90	2508.0
20000	91	2473.0
20000	92	2544.0
20000	93	2437.0
20000	94	2520.0
20000	95	2580.0
20000	96	2534.0
20000	97	2563.0
20000	98	2529.0
20000	99	2556.0
25000	0	3562.0
25000	1	3557.0
25000	2	3621.0
25000	3	3532.0
25000	4	3575.0
25000	5	3369.0
25000	6	3534.0
25000	7	3428.0
25000	8	3549.0
25000	9	3476.0
25000	10	3533.0
25000	11	3513.0
25000	12	3717.0
25000	13	3912.0
25000	14	3528.0
25000	15	3500.0
25000	16	3538.0
25000	17	3564.0
25000	18	3452.0
25000	19	3632.0
25000	20	3420.0
25000	21	3444.0
25000	22	3454.0
25000	23	3452.0
25000	24	3532.0
25000	25	3455.0
25000	26	3555.0
25000	27	3308.0
25000	28	3796.0
25000	29	3630.0
25000	30	3572.0
25000	31	3618.0
25000	32	3580.0
25000	33	3674.0
25000	34	3520.0
25000	35	3526.0
25000	36	3497.0
25000	37	3550.0
25000	38	3544.0
25000	39	3591.0
25000	40	3932.0
25000	41	3435.0
25000	42	3524.0
25000	43	3514.0
25000	44	3577.0
25000	45	3599.0
25000	46	3558.0
25000	47	3522.0
25000	48	3509.0
25000	49	3472.0
25000	50	3547.0
25000	51	3325.0
25000	52	3752.0
25000	53	3515.0
25000	54	3486.0
25000	55	3527.0
25000	56	3513.0
25000	57	3531.0
25000	58	3479.0
25000	59	3573.0
25000	60	3325.0
25000	61	3552.0
25000	62	3518.0
25000	63	3632.0
25000	64	3618.0
25000	65	3394.0
25000	66	3605.0
25000	67	3531.0
25000	68	3621.0
25000	69	3536.0
25000	70	3486.0
25000	71	3389.0
25000	72	3551.0
25000	73	3481.0
25000	74	3551.0
25000	75	3710.0
25000	76	3547.0
25000	77	3392.0
25000	78	3533.0
25000	79	3774.0
25000	80	3490.0
25000	81	3630.0
25000	82	3626.0
25000	83	3658.0
25000	84	3721.0
25000	85	3707.0
25000	86	3546.0
25000	87	3758.0
25000	88	3586.0
25000	89	3544.0
25000	90	3636.0
25000	91	3479.0
25000	92	3600.0
25000	93	3291.0
25000	94	3673.0
25000	95	3833.0
25000	96	3559.0
25000	97	3348.0
25000	98	3612.0
25000	99	3606.0
30000	0	4589.0
30000	1	4672.0
30000	2	4799.0
30000	3	4702.0
30000	4	4844.0
30000	5	4768.0
30000	6	4807.0
30000	7	4732.0
30000	8	5088.0
30000	9	4685.0
30000	10	4632.0
30000	11	4695.0
30000	12	4733.0
30000	13	4585.0
30000	14	4977.0
30000	15	4649.0
30000	16	4658.0
30000	17	4680.0
30000	18	4718.0
30000	19	4699.0
30000	20	4703.0
30000	21	4951.0
30000	22	4611.0
30000	23	4849.0
30000	24	4995.0
30000	25	4751.0
30000	26	4931.0
30000	27	4796.0
30000	28	4799.0
30000	29	5011.0
30000	30	4808.0
30000	31	4786.0
30000	32	4555.0
30000	33	4900.0
30000	34	4788.0
30000	35	4795.0
30000	36	4846.0
30000	37	4677.0
30000	38	4723.0
30000	39	4704.0
30000	40	4837.0
30000	41	4903.0
30000	42	4956.0
30000	43	4507.0
30000	44	4808.0
30000	45	4923.0
30000	46	4384.0
30000	47	4737.0
30000	48	4825.0
30000	49	4660.0
30000	50	4860.0
30000	51	4812.0
30000	52	4627.0
30000	53	4774.0
30000	54	4925.0
30000	55	4759.0
30000	56	4751.0
30000	57	4847.0
30000	58	4788.0
30000	59	4854.0
30000	60	4844.0
30000	61	4712.0
30000	62	4654.0
30000	63	4960.0
30000	64	4502.0
30000	65	4417.0
30000	66	4621.0
30000	67	4616.0
30000	68	4907.0
30000	69	4427.0
30000	70	4495.0
30000	71	5050.0
30000	72	4727.0
30000	73	4458.0
30000	74	4725.0
30000	75	4864.0
30000	76	4747.0
