library	estimator	T	N	batch_size	order	time
THOI	GC	1000	15	200000	7	0.13926076889038086
THOI	GC	1000	15	200000	8	0.13977742195129395
THOI	GC	1000	15	200000	9	0.14190220832824707
THOI	GC	1000	15	200000	10	0.1000065803527832
THOI	GC	1000	15	200000	11	0.0738523006439209
THOI	GC	1000	15	200000	12	0.05235886573791504
THOI	GC	1000	15	200000	13	0.0439305305480957
THOI	GC	1000	15	200000	14	0.04794049263000488
THOI	GC	1000	15	300000	3	0.0683441162109375
THOI	GC	1000	15	300000	4	0.09026551246643066
THOI	GC	1000	15	300000	5	0.11921238899230957
THOI	GC	1000	15	300000	6	0.14135456085205078
THOI	GC	1000	15	300000	7	0.1718428134918213
THOI	GC	1000	15	300000	8	0.1856081485748291
THOI	GC	1000	15	300000	9	0.13884615898132324
THOI	GC	1000	15	300000	10	0.09947490692138672
THOI	GC	1000	15	300000	11	0.08051109313964844
THOI	GC	1000	15	300000	12	0.06999588012695312
THOI	GC	1000	15	300000	13	0.06070113182067871
THOI	GC	1000	15	300000	14	0.05847883224487305
THOI	GC	1000	15	400000	3	0.08571243286132812
THOI	GC	1000	15	400000	4	0.09363603591918945
THOI	GC	1000	15	400000	5	0.13441109657287598
THOI	GC	1000	15	400000	6	0.1487123966217041
THOI	GC	1000	15	400000	7	0.19580483436584473
THOI	GC	1000	15	400000	8	0.20080995559692383
THOI	GC	1000	15	400000	9	0.1433255672454834
THOI	GC	1000	15	400000	10	0.12084293365478516
THOI	GC	1000	15	400000	11	0.10295867919921875
THOI	GC	1000	15	400000	12	0.09573221206665039
THOI	GC	1000	15	400000	13	0.08859133720397949
THOI	GC	1000	15	400000	14	0.07990074157714844
THOI	GC	1000	15	500000	3	0.10210442543029785
THOI	GC	1000	15	500000	4	0.10848546028137207
THOI	GC	1000	15	500000	5	0.15110445022583008
THOI	GC	1000	15	500000	6	0.1917104721069336
THOI	GC	1000	15	500000	7	0.1994161605834961
THOI	GC	1000	15	500000	8	0.17763018608093262
THOI	GC	1000	15	500000	9	0.18212676048278809
THOI	GC	1000	15	500000	10	0.14043736457824707
THOI	GC	1000	15	500000	11	0.1153113842010498
THOI	GC	1000	15	500000	12	0.10087394714355469
THOI	GC	1000	15	500000	13	0.0948030948638916
THOI	GC	1000	15	500000	14	0.10170793533325195
THOI	GC	1000	15	600000	3	0.12203621864318848
THOI	GC	1000	15	600000	4	0.13915562629699707
THOI	GC	1000	15	600000	5	0.14973902702331543
THOI	GC	1000	15	600000	6	0.19792723655700684
THOI	GC	1000	15	600000	7	0.21724700927734375
THOI	GC	1000	15	600000	8	0.23595237731933594
THOI	GC	1000	15	600000	9	0.1802234649658203
THOI	GC	1000	15	600000	10	0.18292689323425293
THOI	GC	1000	15	600000	11	0.13483023643493652
THOI	GC	1000	15	600000	12	0.11676359176635742
THOI	GC	1000	15	600000	13	0.10996007919311523
THOI	GC	1000	15	600000	14	0.11006045341491699
THOI	GC	1000	15	700000	3	0.1316065788269043
THOI	GC	1000	15	700000	4	0.1458282470703125
THOI	GC	1000	15	700000	5	0.16621136665344238
THOI	GC	1000	15	700000	6	0.19178390502929688
THOI	GC	1000	15	700000	7	0.22171878814697266
THOI	GC	1000	15	700000	8	0.21387791633605957
THOI	GC	1000	15	700000	9	0.20440316200256348
THOI	GC	1000	15	700000	10	0.1691584587097168
THOI	GC	1000	15	700000	11	0.1475229263305664
THOI	GC	1000	15	700000	12	0.1363389492034912
THOI	GC	1000	15	700000	13	0.1324310302734375
THOI	GC	1000	15	700000	14	0.1341845989227295
THOI	GC	1000	15	800000	3	0.15645623207092285
THOI	GC	1000	15	800000	4	0.17667770385742188
THOI	GC	1000	15	800000	5	0.18616437911987305
THOI	GC	1000	15	800000	6	0.2129075527191162
THOI	GC	1000	15	800000	7	0.23951935768127441
THOI	GC	1000	15	800000	8	0.2816493511199951
THOI	GC	1000	15	800000	9	0.2184450626373291
THOI	GC	1000	15	800000	10	0.19876360893249512
THOI	GC	1000	15	800000	11	0.16341567039489746
THOI	GC	1000	15	800000	12	0.15251994132995605
THOI	GC	1000	15	800000	13	0.1497962474822998
THOI	GC	1000	15	800000	14	0.14754796028137207
THOI	GC	1000	15	900000	3	0.1695389747619629
THOI	GC	1000	15	900000	4	0.17746925354003906
THOI	GC	1000	15	900000	5	0.20072555541992188
THOI	GC	1000	15	900000	6	0.27956151962280273
THOI	GC	1000	15	900000	7	0.301314115524292
THOI	GC	1000	15	900000	8	0.274644136428833
THOI	GC	1000	15	900000	9	0.24011754989624023
THOI	GC	1000	15	900000	10	0.21330046653747559
THOI	GC	1000	15	900000	11	0.183211088180542
THOI	GC	1000	15	900000	12	0.16827106475830078
THOI	GC	1000	15	900000	13	0.16146373748779297
THOI	GC	1000	15	900000	14	0.15937423706054688
THOI	GC	1000	15	1000000	3	0.18150615692138672
THOI	GC	1000	15	1000000	4	0.21129179000854492
THOI	GC	1000	15	1000000	5	0.23114657402038574
THOI	GC	1000	15	1000000	6	0.28423047065734863
THOI	GC	1000	15	1000000	7	0.28363847732543945
THOI	GC	1000	15	1000000	8	0.2776031494140625
THOI	GC	1000	15	1000000	9	0.25796079635620117
THOI	GC	1000	15	1000000	10	0.22759747505187988
THOI	GC	1000	15	1000000	11	0.19608426094055176
THOI	GC	1000	15	1000000	12	0.19290637969970703
THOI	GC	1000	15	1000000	13	0.17770934104919434
THOI	GC	1000	15	1000000	14	0.18155121803283691
THOI	GC	1000	20	100000	3	0.07008671760559082
THOI	GC	1000	20	100000	4	0.20121359825134277
THOI	GC	1000	20	100000	5	0.8784177303314209
THOI	GC	1000	20	100000	6	1.778029441833496
THOI	GC	1000	20	100000	7	2.729670286178589
THOI	GC	1000	20	100000	8	4.573012351989746
THOI	GC	1000	20	100000	9	6.103154182434082
THOI	GC	1000	20	100000	10	6.481094837188721
THOI	GC	1000	20	100000	11	6.122790575027466
THOI	GC	1000	20	100000	12	4.867737054824829
THOI	GC	1000	20	100000	13	2.9435410499572754
THOI	GC	1000	20	100000	14	1.8023474216461182
THOI	GC	1000	20	100000	15	0.9281995296478271
THOI	GC	1000	20	100000	16	0.20127010345458984
THOI	GC	1000	20	100000	17	0.06383705139160156
THOI	GC	1000	20	100000	18	0.06174206733703613
THOI	GC	1000	20	100000	19	0.03365921974182129
THOI	GC	1000	20	200000	3	0.09652018547058105
THOI	GC	1000	20	200000	4	0.266376256942749
THOI	GC	1000	20	200000	5	0.9602155685424805
THOI	GC	1000	20	200000	6	1.865403652191162
THOI	GC	1000	20	200000	7	3.0150861740112305
THOI	GC	1000	20	200000	8	4.226622104644775
THOI	GC	1000	20	200000	9	5.665374994277954
THOI	GC	1000	20	200000	10	6.2688376903533936
THOI	GC	1000	20	200000	11	5.759754657745361
THOI	GC	1000	20	200000	12	4.391149520874023
THOI	GC	1000	20	200000	13	2.9867184162139893
THOI	GC	1000	20	200000	14	1.9000892639160156
THOI	GC	1000	20	200000	15	1.000525712966919
THOI	GC	1000	20	200000	16	0.2514019012451172
THOI	GC	1000	20	200000	17	0.11680030822753906
THOI	GC	1000	20	200000	18	0.06435179710388184
THOI	GC	1000	20	200000	19	0.06842732429504395
THOI	GC	1000	20	300000	3	0.14340496063232422
THOI	GC	1000	20	300000	4	0.2991909980773926
THOI	GC	1000	20	300000	5	0.9977068901062012
THOI	GC	1000	20	300000	6	1.8259375095367432
