n_variables	n_samples	real_entropy	gcmi_entropy	npeet_entropy
3	1000	4.90527477843843	5.042193711314972	6.11981695208051
3	1500	4.90527477843843	5.023264663360054	6.126756727715862
3	10000	4.90527477843843	4.9739077784803145	6.138161789642292
3	15000	4.90527477843843	4.963412263711735	6.139221665591559
3	100000	4.90527477843843	4.939545372401293	6.140892783543808
3	150000	4.90527477843843	4.934968364120257	6.141011397683714
3	1000000	4.90527477843843	4.921521758182003	6.1412368577798455
3	1500000	4.90527477843843	4.919483914013503	6.141253490027495
3	10	4.564348191467836	5.006851105288256	5.520450834458046
3	15	4.564348191467836	5.00180973626979	5.125423643995772
3	100	4.564348191467836	4.883163289639652	5.996241345247765
3	150	4.564348191467836	5.077028357423141	6.04425704604888
3	1000	4.564348191467836	4.740756858163195	6.121079358961161
3	1500	4.564348191467836	4.698037097427422	6.125573106075689
3	10000	4.564348191467836	4.636790436262864	6.138189943247843
3	15000	4.564348191467836	4.643538277572507	6.13917501539629
3	100000	4.564348191467836	4.599663037990023	6.140834459472248
3	150000	4.564348191467836	4.599229327401744	6.141006553973776
3	1000000	4.564348191467836	4.581588816685473	6.141229920988723
3	1500000	4.564348191467836	4.579358107028817	6.141245796975691
3	10	6.068425588244111	7.239637667525663	5.734702489059522
3	15	6.068425588244111	6.585913244568202	5.751433783957794
3	100	6.068425588244111	6.44435050575338	6.022154735526446
3	150	6.068425588244111	6.31431186273744	6.049173225938652
3	1000	6.068425588244111	6.164032313191178	6.120601262627986
3	1500	6.068425588244111	6.206763993124413	6.126525970484709
3	10000	6.068425588244111	6.1368775052727536	6.138212490295229
3	15000	6.068425588244111	6.129802444913743	6.139244767196228
3	100000	6.068425588244111	6.099050717237815	6.140891522924906
3	150000	6.068425588244111	6.096933016777843	6.140994801659407
3	1000000	6.068425588244111	6.0836867448312315	6.141235156944618
3	1500000	6.068425588244111	6.080879286928214	6.141250494651128
3	10	5.662960480135946	6.856743040600314	5.793786054001509
3	15	5.662960480135946	6.51627828527076	5.779521620045563
3	100	5.662960480135946	6.085778076683193	6.023444501626843
3	150	5.662960480135946	5.901821357229549	6.034486761416504
3	1000	5.662960480135946	5.809860984753932	6.121278422357143
3	1500	5.662960480135946	5.776985051727555	6.1261983521354315
3	10000	5.662960480135946	5.740493868537175	6.137936482519289
3	15000	5.662960480135946	5.726945288129414	6.139013841298237
3	100000	5.662960480135946	5.69693204064168	6.140894079284309
3	150000	5.662960480135946	5.688175289381597	6.141007983432604
3	1000000	5.662960480135946	5.677766974174558	6.141238644833745
3	1500000	5.662960480135946	5.67482037121229	6.141253481032817
3	10	4.02535169073515	5.6384891845705205	5.60202008418614
3	15	4.02535169073515	5.639409372091739	5.33839141206638
3	100	4.02535169073515	4.684382761014243	6.005803966556489
3	150	4.02535169073515	4.604148595951511	6.051778100796668
3	1000	4.02535169073515	4.23280412510492	6.11990194185347
3	1500	4.02535169073515	4.214488543113121	6.123722327932636
3	10000	4.02535169073515	4.125707295693253	6.138292318757114
3	15000	4.02535169073515	4.122542351237324	6.139226355943225
3	100000	4.02535169073515	4.075113611431156	6.140898721687179
3	150000	4.02535169073515	4.0660639817741195	6.141015781335673
3	1000000	4.02535169073515	4.046358340029151	6.141231598063726
3	1500000	4.02535169073515	4.043414042293572	6.14125323084084
3	10	5.934894195619588	6.939621529054981	5.693837461004381
3	15	5.934894195619588	5.822755467915693	5.188767743774038
3	100	5.934894195619588	6.274047442237308	6.015276814908804
3	150	5.934894195619588	6.288643222335646	6.05051884870326
3	1000	5.934894195619588	6.106898994657888	6.116551499115834
3	1500	5.934894195619588	6.062195447587685	6.126363399624536
3	10000	5.934894195619588	6.000189600083609	6.138350286878441
3	15000	5.934894195619588	5.989533397781195	6.139059503529356
3	100000	5.934894195619588	5.965577561178557	6.1408843569164535
3	150000	5.934894195619588	5.960810351366467	6.14099003838902
3	1000000	5.934894195619588	5.949243876431794	6.141236045113765
3	1500000	5.934894195619588	5.946690901125656	6.1412532035280565
3	10	4.02535169073515	6.382701357642891	5.637864539234645
3	15	4.02535169073515	6.425767710690624	5.785817517648535
3	100	4.02535169073515	4.524276903218462	5.9813934327870255
3	150	4.02535169073515	4.430675066649017	6.045860065014174
3	1000	4.02535169073515	4.270115508394127	6.120845978108536
3	1500	4.02535169073515	4.248197552320736	6.121862121736512
3	10000	4.02535169073515	4.119523931761083	6.138106714473796
3	15000	4.02535169073515	4.121487431458326	6.139081762691695
