n_variables	n_samples	real_entropy	real_o_information	npeet_entropy	gcmi_entropy	o_info_npeet	o_info_gcmi
3	1500	-1.9482503809123628	-0.2333174038109307	-5.631786487329768	3.9982667633115683	-2.4135244570864076	-1.4182124622021237
3	10000	-1.9482503809123628	-0.2333174038109307	-6.633838305452967	3.949140017978634	-3.355227868721949	-1.4561239864283366
3	15000	-1.9482503809123628	-0.2333174038109307	-6.856084576380415	3.9870814108264887	-3.5799151701775873	-1.4286002407030538
3	100000	-1.9482503809123628	-0.2333174038109307	-7.779642565204966	3.9903967322376146	-4.503136423705568	-1.423758086037163
3	150000	-1.9482503809123628	-0.2333174038109307	-7.996109242442003	3.985790727789274	-4.702303537994258	-1.4283542213254865
3	1000000	-1.9482503809123628	-0.2333174038109307	-8.936092897449813	3.9915638277082297	-5.654252472003167	-1.4223163102036271
3	1500000	-1.9482503809123628	-0.2333174038109307	-9.139492021138805	3.9873890660252433	-5.856818396588226	-1.4267928424435246
3	10	-1.7510133494077298	-0.21807195311918992	-3.2572618833559313	3.900191011796794	-0.41723120870908303	-0.34823041204532323
3	15	-1.7510133494077298	-0.21807195311918992	-2.650786454053326	3.718000558863393	0.06695518639028863	-1.369915260436918
3	100	-1.7510133494077298	-0.21807195311918992	-3.9280756525033205	3.789735150592381	-1.1746553058787086	-1.5415615236460858
3	150	-1.7510133494077298	-0.21807195311918992	-4.142075782003914	3.9015418392450294	-1.436767662559304	-1.3851865074330383
3	1000	-1.7510133494077298	-0.21807195311918992	-5.246581193603458	3.916063548305202	-2.255841787654778	-1.528637191496173
3	1500	-1.7510133494077298	-0.21807195311918992	-5.400149730976537	3.9495965577309216	-2.5233078280871677	-1.4753953225763938
3	10000	-1.7510133494077298	-0.21807195311918992	-6.331849587069454	3.8381624624755983	-3.385075652711812	-1.5813693177896773
3	15000	-1.7510133494077298	-0.21807195311918992	-6.526043930166523	3.8989708357224697	-3.5525656361580715	-1.5359349099193538
3	100000	-1.7510133494077298	-0.21807195311918992	-7.495463879394343	3.857546301561541	-4.5260256030777555	-1.5724447932057952
3	150000	-1.7510133494077298	-0.21807195311918992	-7.69016684526915	3.8523435190258493	-4.731519181015283	-1.578775151299098
3	1000000	-1.7510133494077298	-0.21807195311918992	-8.64041186137935	3.8591190885049884	-5.678461736232743	-1.571799673623095
3	1500000	-1.7510133494077298	-0.21807195311918992	-8.844292247227626	3.8533675039927204	-5.881144303673494	-1.5756979362118773
3	10	-1.9525914059107343	-0.041125426380831165	-3.566915223104492	3.949856603633059	-0.08978491520162324	-1.1037523095592987
3	15	-1.9525914059107343	-0.041125426380831165	-2.7786843634567986	4.052598632633868	-0.9023313674300786	-0.7685555764987395
3	100	-1.9525914059107343	-0.041125426380831165	-4.4957793790246665	3.55829722449409	-0.9255841410353964	-1.6081527104976812
3	150	-1.9525914059107343	-0.041125426380831165	-4.425071124144138	3.8428026981755057	-1.4476830943416914	-1.3332737640983234
3	1000	-1.9525914059107343	-0.041125426380831165	-5.416186260956081	3.7055670472474813	-2.291707052456511	-1.614762146576958
3	1500	-1.9525914059107343	-0.041125426380831165	-5.621295462547101	3.704285365018791	-2.424054432195038	-1.659583450399122
3	10000	-1.9525914059107343	-0.041125426380831165	-6.655618635379026	3.6585088244801858	-3.3767635108232064	-1.678198989646579
3	15000	-1.9525914059107343	-0.041125426380831165	-6.852497473507164	3.68528705580597	-3.555091514164424	-1.6635022021503034
3	100000	-1.9525914059107343	-0.041125426380831165	-7.799576800732037	3.7068403653350526	-4.511771740897462	-1.6532961246376736
3	150000	-1.9525914059107343	-0.041125426380831165	-7.995176576613044	3.7116930506066423	-4.703061614313681	-1.6436798920270799
3	1000000	-1.9525914059107343	-0.041125426380831165	-8.941015611628425	3.6931175512379624	-5.661918503736983	-1.6604858178166784
3	1500000	-1.9525914059107343	-0.041125426380831165	-9.146893397756385	3.686231229869962	-5.862158450556695	-1.665126106192678
3	10	-1.318239983121334	-0.45434873911844753	-2.468635838307427	4.493606887499219	0.040169711664707286	-0.7367327874516088
3	15	-1.318239983121334	-0.45434873911844753	-2.0343323620204594	4.576467410982394	-0.6799069781870295	-0.7637410680979597
3	100	-1.318239983121334	-0.45434873911844753	-2.989969080385702	4.589223507740199	-1.2548386463412733	-0.8451683619153147
3	150	-1.318239983121334	-0.45434873911844753	-3.3368440163465376	4.366751323866229	-1.283181488569035	-1.0209036897362198
3	1000	-1.318239983121334	-0.45434873911844753	-4.477220771671119	4.377768634941752	-2.205875913611637	-1.075430846733136
3	1500	-1.318239983121334	-0.45434873911844753	-4.677352918189241	4.392499897997064	-2.3621894593533748	-1.0481442456753207
3	10000	-1.318239983121334	-0.45434873911844753	-5.668106911979459	4.4228773539004465	-3.2232625105514536	-1.0572217491377778
3	15000	-1.318239983121334	-0.45434873911844753	-5.875506101892302	4.432869877044865	-3.4646820802789424	-1.0505221290029603
3	100000	-1.318239983121334	-0.45434873911844753	-6.835930382699065	4.413302459498377	-4.405821248270021	-1.0664854466635028
3	150000	-1.318239983121334	-0.45434873911844753	-7.043384138705445	4.418517459047979	-4.591919354564807	-1.0640516172354557
3	1000000	-1.318239983121334	-0.45434873911844753	-7.990551638047792	4.413638778785323	-5.548818412242852	-1.0677878682417266
3	1500000	-1.318239983121334	-0.45434873911844753	-8.194653025147351	4.412466758004132	-5.750139802586821	-1.0688511165750336
3	10	-1.9223969758652828	-0.023031110104012598	-2.835483848738317	4.056928778927594	-0.6637734270838247	-1.0877108241867823
3	15	-1.9223969758652828	-0.023031110104012598	-3.5764423079036898	3.9783348935801333	-0.6197962276672748	-1.0634564404414593
3	100	-1.9223969758652828	-0.023031110104012598	-4.119386983665265	3.8111500954880473	-1.1027782046084065	-1.3921348493109473
3	150	-1.9223969758652828	-0.023031110104012598	-4.7290410584083205	3.968896047938622	-1.3099060842817183	-1.4261665945524529
3	1000	-1.9223969758652828	-0.023031110104012598	-5.539396452226681	3.892979318052714	-2.13554472066175	-1.455057719739798
3	1500	-1.9223969758652828	-0.023031110104012598	-5.5969701490834005	3.7042926194876826	-2.3871817200513625	-1.6380273548090423
3	10000	-1.9223969758652828	-0.023031110104012598	-6.617643188540393	3.63011796563649	-3.35613093834346	-1.7163676390764948
