distribution	alpha	window	O-information	Total Correlation	Dual Total Correlation	S-information
hh_normal	0.0	0	-0.005555398303218	0.007110712243790118	0.01266611871821476	0.019776875198888096
hh_normal	0.0	1	0.011478819618176058	-0.004836189295538418	-0.01631491717098478	-0.021150258167595845
hh_normal	0.0	2	0.013161106641189347	-0.008697980378482129	-0.02185917638249585	-0.030557432203102055
hh_normal	0.0	3	-0.006885825237127887	-0.001553658736106911	0.005331787757902433	0.003778370601163589
hh_normal	0.0	4	0.015505895616895075	-0.008491218632471487	-0.024000175422035423	-0.032491477333957734
hh_normal	0.0	5	-0.007166390661436183	0.005527542724937717	0.012694030484443064	0.01822166665883959
hh_normal	0.0	6	-0.009587895753250092	0.003935390575101394	0.013529597608703921	0.01746496340203423
hh_normal	0.0	7	0.0027911843275258757	-0.0034736555578476214	-0.006264867338417367	-0.00973866548272408
hh_normal	0.0	8	-0.019547848268755087	0.015216175410063926	0.034764017453150386	0.04998040932197044
hh_normal	0.0	9	-8.154055305786434E-4	-0.003949046580132176	-0.003133570223881894	-0.007082608381903907
hh_normal	0.1	0	-0.004356542594560018	0.01742481905542803	0.021781336666085695	0.03920626548839656
hh_normal	0.1	1	-4.143403719330343E-4	0.014999972809331297	0.015414162598397917	0.030414018476063738
hh_normal	0.1	2	0.0020930172273899714	0.012469433276411479	0.010376350817447734	0.02284571310197708
hh_normal	0.1	3	-0.0016868380192929908	0.014370907334431138	0.016057500285736926	0.030428274935809685
hh_normal	0.1	4	0.017790016053480216	0.009086876014222867	-0.008703204994853157	3.836554894407632E-4
hh_normal	0.1	5	-0.0030300847567432806	0.01722254582748306	0.020252739115868713	0.03747528473272642
hh_normal	0.1	6	-0.0013025011289159445	0.017942535266705306	0.019245099173307172	0.03718903210643966
hh_normal	0.1	7	-7.632399304052522E-4	0.019873912819246442	0.020637124322533153	0.040511005859143454
hh_normal	0.1	8	0.0021401398770608824	0.015616170416201669	0.013476163869137863	0.029092143140159944
hh_normal	0.1	9	0.007659988395707455	0.007106000243382482	-5.539934255852266E-4	0.006552106411008756
hh_normal	0.2	0	0.001395709550355537	0.05182785260375766	0.05043177716195972	0.10225908909553341
hh_normal	0.2	1	9.66886970778609E-4	0.051588857131772414	0.050622139012507505	0.10221127860391735
hh_normal	0.2	2	0.022514682925461153	0.04430383255150616	0.021789149626041455	0.06609302106686131
hh_normal	0.2	3	-0.009823559823265196	0.06351336868717183	0.07333683647729804	0.13685025353281585
hh_normal	0.2	4	0.025185095778918188	0.03629296976437857	0.011107863592965863	0.04740067328188901
hh_normal	0.2	5	-0.0036288622828726394	0.059919131879659915	0.06354806274020128	0.12346240109874933
hh_normal	0.2	6	-0.006471530058361244	0.05721552238436445	0.06368688107340467	0.12090242047835273
hh_normal	0.2	7	0.0019525032467648386	0.05297572471873124	0.051023093127096616	0.10399884014845392
hh_normal	0.2	8	-0.008178924652503024	0.05895202644201447	0.06713094384966754	0.12608309946848334
hh_normal	0.2	9	-0.0060293941640941545	0.0581108998856088	0.06414033181966926	0.12225117050577017
hh_normal	0.3	0	-0.014786035221482563	0.12332653392706305	0.13811248558238526	0.26143904508381527
hh_normal	0.3	1	-0.008913916461662298	0.12602970620825005	0.1349434468284549	0.2609730941840703
hh_normal	0.3	2	8.852992510059764E-6	0.12293193148507697	0.12292289623885636	0.24585472847340833
hh_normal	0.3	3	-0.005666789296174334	0.11785854079090541	0.1235250891290894	0.24138343826638647
hh_normal	0.3	4	-0.0015878277683172223	0.10560941992109818	0.10719706540583804	0.21280636690032
hh_normal	0.3	5	-0.01294408717705592	0.11738664797062626	0.13033070833079696	0.24771177410920953
hh_normal	0.3	6	-0.009802392249569332	0.12459911276226165	0.13440147163471647	0.25900053761829006
hh_normal	0.3	7	-0.025545263459547114	0.12852718406708874	0.1540725472958956	0.28259987140933224
hh_normal	0.3	8	-0.006952390465217171	0.12340301383908425	0.13035797487545095	0.2537612386835527
hh_normal	0.3	9	-0.0065574061241667515	0.1231356363894136	0.12969907599359298	0.25283477305453267
hh_normal	0.4	0	-0.016334648721242056	0.19150071213353215	0.20783538588606248	0.3993362978832473
hh_normal	0.4	1	-0.02607629570642005	0.19983412663025746	0.22591032974408157	0.4257445361913855
hh_normal	0.4	2	-0.0210557723275008	0.1931669187404914	0.21422274583250978	0.40738975808746736
hh_normal	0.4	3	-0.0375252383176398	0.20222311380705804	0.23974860158217834	0.4419736158582051
hh_normal	0.4	4	-0.010268487903992929	0.18284413368776242	0.1931124110654227	0.3759563167985446
hh_normal	0.4	5	-0.031825699428986304	0.21819736701135284	0.25003994976787286	0.4682374243800758
hh_normal	0.4	6	-0.02717817850693423	0.19735868519669708	0.22453686081260968	0.42189524002161993
hh_normal	0.4	7	-0.032293243177667	0.19750607074848503	0.22979926995077335	0.4273052760164096
hh_normal	0.4	8	-0.0222606630619651	0.20385450971799912	0.22611494018400716	0.429969027981397
hh_normal	0.4	9	-0.03656428990378134	0.1961040810213781	0.23266154588823987	0.4287723884072555
hh_normal	0.5	0	-0.056114398176448095	0.28296076428230776	0.33907514001181643	0.6220359622959298
hh_normal	0.5	1	-0.042660204457473795	0.2739947510378613	0.31665489243036576	0.5906496635309431
hh_normal	0.5	2	-0.07291574216910039	0.28769104414394775	0.3606068023298097	0.6482977866122699
hh_normal	0.5	3	-0.05221095559036765	0.2757692546158381	0.3279803426944186	0.6037499901465011
hh_normal	0.5	4	-0.046946470506729295	0.2722172719554905	0.31916346350300717	0.5913804881299788
hh_normal	0.5	5	-0.07055888721398607	0.3027758820322859	0.373334815606962	0.6761105743466603
hh_normal	0.5	6	-0.06162687671281342	0.2825326333370697	0.3441594207960994	0.626692124015281
hh_normal	0.5	7	-0.05407488889763218	0.2808961057637127	0.3349710302358716	0.6158669827511498
hh_normal	0.5	8	-0.05402047932852341	0.281550892218732	0.3355680124910164	0.617125708844531
hh_normal	0.5	9	-0.04827511275486628	0.2771621455284823	0.3254374855133244	0.6025994619815531
hh_normal	0.6	0	-0.0973666084402706	0.3735386157059466	0.4709052473781049	0.844444895055001
hh_normal	0.6	1	-0.08418595327525638	0.3783443470484009	0.46252989144923223	0.840873953635292
hh_normal	0.6	2	-0.10562676417319684	0.3850482180204118	0.49067491563180693	0.8757231645563051
hh_normal	0.6	3	-0.1035904143093643	0.38124462163299455	0.4848349249801857	0.8660792772796574
hh_normal	0.6	4	-0.09216975951431736	0.35335540510744323	0.4455230614792612	0.7988783838052474
hh_normal	0.6	5	-0.09484030213780556	0.36471368506361657	0.4595538593543168	0.8242675675446162
hh_normal	0.6	6	-0.09838263902852064	0.3714089168600019	0.4697914055463529	0.841200394135723
hh_normal	0.6	7	-0.09561825872592924	0.37236271782935404	0.467981061879514	0.8403438355465486
hh_normal	0.6	8	-0.09103424062013032	0.3774426365553687	0.46847693745277835	0.8459225238449702
hh_normal	0.6	9	-0.09328016475850535	0.38098695772306	0.4742684538896865	0.8552553130352041
hh_normal	0.7	0	-0.14828633925292073	0.44419432510856893	0.5924806643614945	1.0366751344219534
hh_normal	0.7	1	-0.140269825604514	0.4514214785311381	0.5916912185924497	1.0431127510341152
hh_normal	0.7	2	-0.16419037991727825	0.4618157155256313	0.6260058765461463	1.0878215772613378
hh_normal	0.7	3	-0.15342622691825994	0.4709637164928715	0.6243899729291894	1.09535842699861
hh_normal	0.7	4	-0.1469191987974471	0.4542472517309655	0.601166465313367	1.0554137308379048
hh_normal	0.7	5	-0.1336735954479132	0.45566943853945574	0.5893429348981437	1.0450124311839968
hh_normal	0.7	6	-0.14145767962060124	0.44960278909058005	0.591058147098354	1.0406631543561358
hh_normal	0.7	7	-0.1419858176798719	0.4540833638264665	0.596062646105485	1.0501458376307196
hh_normal	0.7	8	-0.1522777375923297	0.46568024452752255	0.6179581279996655	1.0836387237575817
hh_normal	0.7	9	-0.1406746783432442	0.454447944411168	0.5951225274255252	1.049574583553444
hh_normal	0.8	0	-0.20937369317208682	0.5443341939606228	0.7537078503593787	1.2980420932364742
hh_normal	0.8	1	-0.20387574025584923	0.529958305501804	0.7338338354420291	1.2637917999188537
